#,Zerpmon,Types,,White Move #1,Dmg,Type,ID,%,White Move #2,Dmg,Type,ID,%,Gold Move #1,Dmg,Type,ID,%,Gold Move #2,Dmg,Type,ID,%,Purple Move #1,Stars,ID,%,Purple Move #2,Stars,ID,%,Blue Move,ID,%,Miss,ID,%,NFToken ID
175,Tectonix,Fairy,Psychic,Glittering Sweep,80,Fairy,#326,9.00%,Zen Headbutt,80,Psychic,#200,18.00%,Aura Sphere Blast,70,Psychic,#207,12.00%,Obilivion Orb,70,Dark,#297,9.00%,Disarm,*****,#441,9.00%,Shockwave Shield,****,#104,14.00%,Riftwalk,#381,12.00%,Miss,#1,29.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EB3E563A400000109
176,Geogale,Fairy,Steel,Twinkle Tackle,80,Fairy,#325,10.00%,Absolute Iron,125,Steel,#412,10.00%,Omega Steel Strike,85,Steel,#316,10.00%,Flame Whirlwind,70,Fire,#45,10.00%,Iron Defense,**,#318,13.00%,Metallic Harden,***,#319,12.00%,Counter,#389,16.00%,Miss,#1,35.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7ECACB34A50000010A
177,Solarith,Fire,,Flame Charge,50,Fire,#36,9.00%,Skull Bash,80,Normal,#14,10.00%,Searing Strike,55,Fire,#44,10.00%,Geode Grenade,85,Rock,#244,13.00%,Molten Maelstrom,***,#49,16.00%,Taunt and Tease,****,#32,20.00%,Evade,#375,9.00%,Miss,#1,22.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EE1B105A60000010B
178,Pyrosphinx,Fire,Rock,Incinerate,100,Fire,#40,10.00%,Sandstorm Fury,80,Ground,#164,11.00%,Bedrock Blast,70,Rock,#243,16.00%,Flame Whirlwind,70,Fire,#45,16.00%,Ancient Power,***,#247,17.00%,Molten Maelstrom,***,#49,8.00%,Dodge,#376,12.00%,Miss,#1,22.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EFA712364000000C9
179,Forrestwyrm,Cosmic,Grass,Thorn Blizzard,120,Grass,#77,25.00%,Gravity Pull,50,Cosmic,#342,13.00%,Solar Storm,70,Cosmic,#351,16.00%,Psychic Surge,55,Psychic,#206,5.00%,Cosmic Radiation,***,#355,16.00%,Root Rend,**,#84,8.00%,Parry,#388,8.00%,Miss,#1,17.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E1156F465000000CA
180,Arctigon,Dragon,Ice,Frozen Spear,80,Ice,#110,15.00%,Gale Force Barrage,125,Flying,#405,17.00%,Dimensional Shredder,85,Dragon,#280,12.00%,Crystal Crush,85,Ice,#118,18.00%,Ancient Rage,****,#284,14.00%,Ice Wall,***,#121,12.00%,Fly,#391,10.00%,Miss,#1,12.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EF896D6A70000010C
181,Luxarose,Bug,Steel,Swarm,30,Bug,#214,10.00%,Alloy Smash,80,Steel,#433,20.00%,Extreme Speed,85,Normal,#28,11.00%,Bedrock Blast,70,Rock,#243,12.00%,Iron Defense,**,#318,15.00%,Infestation,****,#230,14.00%,Protect,#377,10.00%,Miss,#1,18.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E283CC566000000CB
182,Pincerose,Bug,Steel,Beetle Barrage,80,Bug,#218,13.00%,Submission Slam,120,Fighting,#132,9.00%,Chrysalid Charge,70,Bug,#225,12.00%,Omega Steel Strike,85,Steel,#316,18.00%,Iron Defense,**,#318,13.00%,Metamorphosis Madness,***,#229,9.00%,Counter,#389,11.00%,Miss,#1,26.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E3F229667000000CC
183,Nebulisk,Cosmic,Undead,Interdimensional Rift,80,Cosmic,#343,12.00%,Ethereal Blast,80,Ghost,#254,8.00%,Ghoulish Grab,40,Undead,#367,12.00%,Undead Punch,75,Undead,#487,17.00%,Death's Dominion,****,#374,22.00%,Space Time Warp,**,#354,16.00%,Protect,#377,5.00%,Miss,#1,13.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E56086768000000CD
184,Spectrapetal,Fairy,,Radiant Ray,100,Fairy,#328,22.00%,Mystic Moonbeam,120,Fairy,#329,16.00%,Fairy Strike,55,Fairy,#332,8.00%,Mighty Migraine,40,Psychic,#205,7.00%,Charm Beam,**,#336,10.00%,Blind,*****,#442,10.00%,Evade,#375,9.00%,Miss,#1,27.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E0F7CA7A80000010D
185,Lunalilith,Fairy,Poison,Acid Splash,80,Poison,#145,12.00%,Piercing Sparkle,125,Fairy,#413,12.00%,Noxious Eruption,85,Poison,#154,17.00%,Fairy Strike,55,Fairy,#332,15.00%,Shimmering Symphony,****,#338,10.00%,Seed Scatter,***,#85,10.00%,Withdraw,#379,14.00%,Miss,#1,24.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E6CEE3869000000CE
186,Aquaflare,Water,,Tsunami Slam,100,Water,#58,24.00%,Aqua Jet,30,Water,#51,7.00%,Rain Dance Rush,40,Water,#61,10.00%,Extreme Speed,85,Normal,#28,12.00%,Aqua Veil,***,#67,12.00%,Taunt and Tease,****,#32,14.00%,Protect,#377,10.00%,Miss,#1,21.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E83D4096A000000CF
187,Aquasylph,Dark,Water,Vortex Tsunami,125,Water,#399,7.00%,Hydro Cannon,80,Water,#56,18.00%,Rain Dance Rush,40,Water,#61,14.00%,Torrential Tempest,70,Water,#63,16.00%,Dark Whispers,**,#300,21.00%,Aqua Veil,***,#67,14.00%,Protect,#377,5.00%,Miss,#1,10.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E9AB9DA6B000000D0
188,Aquaterror,Ghost,Water,Deathly Decimation,120,Ghost,#258,23.00%,Surf Strike,50,Water,#54,12.00%,Extreme Speed,85,Normal,#28,11.00%,Crystal Crush,85,Ice,#118,11.00%,Soul Drain,***,#265,18.00%,Frighten,*,#299,11.00%,Protect,#377,5.00%,Miss,#1,14.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EB19FAB6C000000D1
189,Vinetex,Grass,Poison,Venomous Bite,50,Poison,#144,9.00%,Foliage Frenzy,50,Grass,#72,9.00%,Blossom Blast,40,Grass,#79,16.00%,Chlorophyll Charge,85,Grass,#82,22.00%,Corrosive Vapors,**,#156,15.00%,Floral Fusion,****,#86,18.00%,Protect,#377,5.00%,Miss,#1,11.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EC8857C6D000000D2
190,Eldereye,Grass,Poison,Photosynthesis Flare,120,Grass,#78,13.00%,Venom Nova,125,Poison,#403,8.00%,Venom Pounce,70,Poison,#153,18.00%,Flame Whirlwind,70,Fire,#45,13.00%,Seed Scatter,***,#85,16.00%,Necromancer's Grasp,***,#373,9.00%,Withdraw,#379,13.00%,Miss,#1,23.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E35083FC000000125
191,Umbrar,Ghost,Undead,Ethereal Blast,80,Ghost,#254,22.00%,Corpse Explosion,80,Undead,#361,22.00%,Wraith Whip,70,Undead,#369,10.00%,Cosmic Power,75,Cosmic,#480,8.00%,Phantom Scream,*,#263,11.00%,Eerie Mist,*****,#466,15.00%,Protect,#377,5.00%,Miss,#1,12.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EF6511E6F000000D4
192,Terrahoof,Grass,,Roots Below,125,Grass,#400,21.00%,Thorn Shot,80,Grass,#420,16.00%,Electro Ball,70,Electric,#99,10.00%,Chlorophyll Charge,85,Grass,#82,9.00%,Seed Scatter,***,#85,10.00%,Shimmering Symphony,****,#338,11.00%,Withdraw,#379,13.00%,Miss,#1,23.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E0D36EF70000000D5
193,Hoofterror,Grass,Fairy,Magical Mist,50,Fairy,#323,17.00%,Thorn Blizzard,120,Grass,#77,14.00%,Chlorophyll Charge,85,Grass,#82,16.00%,Extreme Speed,85,Normal,#28,16.00%,Root Rend,**,#84,10.00%,Draining Kiss,***,#337,10.00%,Protect,#377,7.00%,Miss,#1,17.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E241CC071000000D6
194,Nebulizard,Grass,Psychic,Solar Beam,100,Grass,#75,12.00%,Reality Bend,125,Psychic,#406,18.00%,Aura Sphere Blast,70,Psychic,#207,15.00%,Venom Pounce,70,Poison,#153,10.00%,Mind Control,***,#211,15.00%,Acid Rain,***,#157,9.00%,Detect,#390,10.00%,Miss,#1,21.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E3B029172000000D7
195,Cryospike,Fighting,Ice,Blizzard Burst,50,Ice,#107,10.00%,Spear Drill,90,Normal,#19,14.00%,Close Combat,85,Fighting,#136,10.00%,Hailstorm Fury,70,Ice,#117,10.00%,Taunt and Tease,****,#32,20.00%,Ice Wall,***,#121,20.00%,Leap,#380,9.00%,Miss,#1,16.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E51E86273000000D8
196,Subslice,Fighting,Ice,Subzero Slash,100,Ice,#112,17.00%,Solar Beam,100,Grass,#75,12.00%,Crystal Crush,85,Ice,#118,22.00%,Cross Chop,55,Fighting,#134,15.00%,Guard Up,***,#139,6.00%,Counter Attack,***,#449,12.00%,Backflip,#378,11.00%,Miss,#1,16.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E68CE3374000000D9
197,Vulcansun,Fighting,Flying,Suplex Slam,80,Fighting,#127,20.00%,Feather Hurricane,50,Flying,#179,15.00%,Whirlwind Whack,70,Flying,#189,16.00%,Extreme Speed,85,Normal,#28,12.00%,Brave Bird,***,#193,12.00%,Strong Winds,*****,#462,8.00%,Leap,#380,5.00%,Miss,#1,17.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E7FB40475000000DA
198,Luminape,Fire,Normal,Heat Wave,50,Fire,#35,10.00%,Head Kick,70,Normal,#13,14.00%,Fairy Strike,55,Fairy,#332,14.00%,Fire Power,75,Fire,#473,6.00%,Molten Maelstrom,***,#49,15.00%,Special Talent,****,#446,23.00%,Protect,#377,5.00%,Miss,#1,18.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E9699D576000000DB
199,Galaxape,Cosmic,Fire,Flame Charge,50,Fire,#36,10.00%,Fireball Storm,120,Fire,#42,19.00%,Solar Storm,70,Cosmic,#351,15.00%,Electro Ball,70,Electric,#99,14.00%,Space Time Warp,**,#354,18.00%,Burn Up,**,#48,8.00%,Protect,#377,5.00%,Miss,#1,16.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EAD7FA677000000DC
200,Shadragon,Dark,Dragon,World-ending Fire,120,Dragon,#276,16.00%,Abyssal Annihilation,120,Dark,#293,15.00%,Obilivion Orb,70,Dark,#297,14.00%,Supernova,70,Dragon,#279,15.00%,Dark Cloud,*****,#444,10.00%,Nocturnal Nightmare,****,#302,7.00%,Fly,#391,14.00%,Miss,#1,23.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E266278A90000010E
201,Flairi,Fire,,Blaze Kick,30,Fire,#33,9.00%,Head Kick,70,Normal,#13,11.00%,Jet Strike,55,Normal,#26,6.00%,Blaze Rush,40,Dragon,#277,12.00%,Hellfire,*****,#454,22.00%,Taunt and Tease,****,#32,20.00%,Protect,#377,5.00%,Miss,#1,20.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E1996FE4F000000B4
202,Infernotile,Dragonling,Fire,Inferno Blitz,80,Fire,#37,20.00%,Whitefire,125,Dragon,#410,14.00%,Blaze Rush,40,Dragon,#277,16.00%,Ember Wheel,40,Fire,#43,15.00%,Burn Up,**,#48,17.00%,Hellfire,*****,#454,8.00%,Protect,#377,5.00%,Miss,#1,10.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E4BEE10C100000126
203,Infernizard,Dragonling,Fire,Napalm,125,Fire,#398,15.00%,Fire Ball,80,Fire,#418,20.00%,Supernova,70,Dragon,#279,11.00%,Dimensional Shredder,85,Dragon,#280,17.00%,Fire Cloak,*,#47,8.00%,Molten Maelstrom,***,#49,5.00%,Fly,#391,11.00%,Miss,#1,24.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E5079813100000196
204,Jeltee,Fairy,,Glittering Sweep,80,Fairy,#326,12.00%,Twinkle Tackle,80,Fairy,#325,10.00%,Electro Ball,70,Electric,#99,16.00%,Heavenly Hurricane,85,Fairy,#334,20.00%,Screech,***,#31,16.00%,Dreamy Haze,*,#335,8.00%,Detect,#390,6.00%,Miss,#1,18.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E307CCF50000000B5
205,Jelplume,Electric,Fairy,Enchanted Mist,100,Fairy,#327,11.00%,Thunder Strike,50,Electric,#89,9.00%,Fairy Punch,75,Fairy,#486,11.00%,Shockwave Smash,85,Electric,#100,15.00%,Shockwave Shield,****,#104,16.00%,Thunderous Roar,***,#103,12.00%,Detect,#390,8.00%,Miss,#1,26.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E62D3E1C200000127
206,Jelkoi,Electric,Fairy,Piercing Sparkle,125,Fairy,#413,21.00%,Mystic Moonbeam,120,Fairy,#329,15.00%,Jet Strike,55,Normal,#26,10.00%,Spark Shuriken,55,Electric,#98,10.00%,Charm Beam,**,#336,20.00%,Magnet Wave,**,#102,6.00%,Counter,#389,6.00%,Miss,#1,18.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E675F523200000197
207,Grootile,Fire,,Flame Charge,50,Fire,#36,12.00%,Midnight Maul,80,Dark,#289,11.00%,Searing Strike,55,Fire,#44,12.00%,Infernal Explosion,85,Fire,#46,9.00%,Taunt and Tease,****,#32,18.00%,Molten Maelstrom,***,#49,11.00%,Mirage,#383,15.00%,Miss,#1,27.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E4762A051000000B6
208,Moltile,Dark,Fire,Gemstone Missile,80,Rock,#235,14.00%,Magma Blast,80,Fire,#38,10.00%,Obilivion Orb,70,Dark,#297,14.00%,Flame Whirlwind,70,Fire,#45,18.00%,Fire Cloak,*,#47,12.00%,Dark Cloud,*****,#444,11.00%,Protect,#377,5.00%,Miss,#1,21.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E79B9B2C300000128
209,Emberwhisker,Dark,Fire,Darkness Plunge,125,Dark,#411,17.00%,Fireball Storm,120,Fire,#42,20.00%,Night Terror,70,Ghost,#261,11.00%,Ghostly Guillotine,85,Ghost,#262,10.00%,Fire Cloak,*,#47,13.00%,Frighten,*,#299,8.00%,Protect,#377,5.00%,Miss,#1,21.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E7E45233300000198
210,Hoot,Flying,,Wing Gust,30,Flying,#177,12.00%,Bramble Barrage,80,Grass,#73,8.00%,Dive Tackle,40,Flying,#187,11.00%,Snuggle Tackle,70,Normal,#27,11.00%,Pressure Point,*****,#440,22.00%,Strong Winds,*****,#462,10.00%,Protect,#377,5.00%,Miss,#1,26.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E5E487152000000B7
211,Parroox,Flying,Grass,Aerial Assault,80,Flying,#181,14.00%,Dive Bomb,100,Flying,#184,19.00%,Blossom Blast,40,Grass,#79,12.00%,Telepathic Tempest,85,Psychic,#208,21.00%,Leaf Wrap,*****,#443,7.00%,Tailwind Boost,**,#192,8.00%,Protect,#377,5.00%,Miss,#1,19.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E909F83C400000129
212,Forrestican,Flying,Grass,Gale Force Barrage,125,Flying,#405,13.00%,Roots Below,125,Grass,#400,16.00%,Crystal Crush,85,Ice,#118,16.00%,Psychic Power,75,Psychic,#478,16.00%,Petal Dance,*,#83,9.00%,Seed Scatter,***,#85,6.00%,Fly,#391,7.00%,Miss,#1,24.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E952AF43400000199
213,Bolt,Electric,,Spark Discharge,30,Electric,#87,17.00%,Thunderbolt Blitz,120,Electric,#96,14.00%,Electro Ball,70,Electric,#99,8.00%,Extreme Speed,85,Normal,#28,8.00%,Eye of the Storm,*****,#457,14.00%,Taunt and Tease,****,#32,14.00%,Dodge,#376,11.00%,Miss,#1,25.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E752E4253000000B8
214,Jolteel,Dark,Electric,Volt Tackle,30,Electric,#88,12.00%,Thunderbolt Blitz,120,Electric,#96,24.00%,Eclipse Eruption,55,Dark,#296,12.00%,Extreme Speed,85,Normal,#28,16.00%,Disarm,*****,#441,13.00%,Surge Shield,*,#101,10.00%,Protect,#377,5.00%,Miss,#1,13.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EA78554C50000012A
215,Nebulash,Dark,Electric,Voltage Overload,125,Electric,#401,17.00%,Arc Lightning,80,Electric,#421,18.00%,Extreme Speed,85,Normal,#28,14.00%,Obilivion Orb,70,Dark,#297,11.00%,Surge Shield,*,#101,9.00%,Shockwave Shield,****,#104,15.00%,Protect,#377,5.00%,Miss,#1,16.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E03880444000001A9
216,Dragtile,Dragonling,,Rampage,80,Dragon,#272,20.00%,Flame Cannon,100,Fire,#39,27.00%,Blaze Rush,40,Dragon,#277,5.00%,Tremor Shake,70,Ground,#171,7.00%,Scale Armour,**,#282,15.00%,Dragon's Roar,***,#283,13.00%,Protect,#377,5.00%,Miss,#1,13.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E8C141354000000B9
217,Draketail,Dragonling,,Dragonic Dive,80,Dragon,#431,11.00%,Dragonfire Fury,80,Dragon,#271,25.00%,Ember Wheel,40,Fire,#43,13.00%,Supernova,70,Dragon,#279,10.00%,Ancient Power,***,#247,17.00%,Ancient Rage,****,#284,13.00%,Protect,#377,5.00%,Miss,#1,11.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EBE6B25C60000012B
218,Dragoon,Dragonling,,Whitefire,125,Dragon,#410,15.00%,Obliterating Breath,120,Dragon,#275,17.00%,Flame Whirlwind,70,Fire,#45,12.00%,Tremor Shake,70,Ground,#171,12.00%,Dragon's Roar,***,#283,11.00%,Gust,*,#281,13.00%,Block,#394,11.00%,Miss,#1,20.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E1A6DD545000001AA
219,Taurflame,Fire,,Shadowy Sweep,80,Dark,#290,15.00%,Clap Slap,45,Normal,#8,8.00%,Obilivion Orb,70,Dark,#297,13.00%,Eternal Nightfall,85,Dark,#298,21.00%,Sucker Punch,***,#448,16.00%,Fire Cloak,*,#47,11.00%,Protect,#377,6.00%,Miss,#1,16.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EA2F9E455000000BA
220,Pyroeye,Dark,Fire,Abyssal Annihilation,120,Dark,#293,25.00%,Dark Pulse,30,Dark,#285,11.00%,Umbral Uppercut,40,Dark,#295,11.00%,Flame Whirlwind,70,Fire,#45,20.00%,Counter Attack,***,#449,8.00%,Spirit Boost,*,#137,12.00%,Protect,#377,5.00%,Miss,#1,13.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7ED550F6C70000012C
221,Blazikare,Dark,Fire,Darkness Plunge,125,Dark,#411,14.00%,Fatal Sneak Attack,125,Fighting,#395,15.00%,Fire Power,75,Fire,#473,16.00%,Close Combat,85,Fighting,#136,11.00%,Guard Up,***,#139,4.00%,Fire Cloak,*,#47,10.00%,Backflip,#378,5.00%,Miss,#1,30.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EC2F696360000019B
222,Diggie,Rock,,Power Dig,50,Ground,#161,12.00%,Rocky Rampage,100,Rock,#237,11.00%,Tremor Shake,70,Ground,#171,23.00%,Geode Grenade,85,Rock,#244,20.00%,Sandstorm Shield,****,#176,15.00%,Gravel Grind,*,#245,7.00%,Burrow,#385,8.00%,Miss,#1,12.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EB9DFB556000000BB
223,Terratide,Ground,Rock,Boulder Barrage,50,Rock,#234,14.00%,Earthquake,100,Ground,#165,16.00%,Zap Cannon,80,Electric,#91,18.00%,Suplex Slam,80,Fighting,#127,21.00%,Sand Pit Trap,***,#175,11.00%,Tectonic Divide,*****,#461,5.00%,Protect,#377,5.00%,Miss,#1,15.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EEC36C7C80000012D
224,Goloar,Ground,Rock,Cataclysm,125,Ground,#404,18.00%,Quantum Steel Quake,120,Steel,#311,14.00%,Bedrock Blast,70,Rock,#243,12.00%,Fissure Quake,85,Ground,#172,13.00%,Sand Pit Trap,***,#175,10.00%,Ancient Power,***,#247,10.00%,Burrow,#385,5.00%,Miss,#1,23.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7ED9DC67370000019C
225,Dreptile,Dragonling,,Dragonfire Fury,80,Dragon,#271,19.00%,Wyrm Whirlwind,30,Dragon,#268,11.00%,Blaze Rush,40,Dragon,#277,11.00%,Dragon Punch,75,Dragon,#484,10.00%,Dragon's Roar,***,#283,20.00%,Ancient Rage,****,#284,19.00%,Protect,#377,5.00%,Miss,#1,10.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EE38B5263000000C8
226,Dregatail,Dark,Dragonling,Dragonfire Fury,80,Dragon,#271,24.00%,Dark Energy Blast,100,Dark,#291,13.00%,Eternal Nightfall,85,Dark,#298,14.00%,Blaze Rush,40,Dragon,#277,23.00%,Scale Armour,**,#282,7.00%,Dragonfire Cloak,****,#467,9.00%,Protect,#377,5.00%,Miss,#1,10.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E031C98C90000012E
227,Nebugon,Dark,Dragonling,Whitefire,125,Dragon,#410,15.00%,Meteoric Impact,125,Rock,#408,18.00%,Obilivion Orb,70,Dark,#297,12.00%,Flying Strike,75,Flying,#490,12.00%,Deafening Scream,***,#453,9.00%,Ancient Rage,****,#284,6.00%,Fly,#391,5.00%,Miss,#1,28.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EF0C238380000019D
228,Glorbus,Cosmic,,Celestial Strike,30,Cosmic,#340,15.00%,Brain Torment,80,Psychic,#427,10.00%,Solar Storm,70,Cosmic,#351,15.00%,Aurora Blast,55,Cosmic,#350,15.00%,Lucky Comet,****,#471,15.00%,Mind Control,***,#211,16.00%,Protect,#377,5.00%,Miss,#1,14.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EE7AB5758000000BD
229,Cubus,Cosmic,Psychic,Flame Cannon,100,Fire,#39,13.00%,Hydro Cannon,80,Water,#56,19.00%,Aura Sphere Blast,70,Psychic,#207,15.00%,Electro Ball,70,Electric,#99,15.00%,Aurora Borealis,****,#356,11.00%,Charm Beam,**,#336,9.00%,Riftwalk,#381,7.00%,Miss,#1,18.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E1A0269CA0000012F
230,Cosmicloom,Cosmic,Psychic,Dimensional Lazer,125,Cosmic,#396,19.00%,Reality Bend,125,Psychic,#406,14.00%,Interstellar Impact,85,Cosmic,#352,8.00%,Crystal Crush,85,Ice,#118,16.00%,Blinding Light,**,#451,7.00%,Cosmic Radiation,***,#355,7.00%,Riftwalk,#381,10.00%,Miss,#1,29.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E07A809390000019E
231,Lito,Fighting,,Fists of Fury,80,Fighting,#128,8.00%,Pile Drive,80,Fighting,#423,11.00%,Close Combat,85,Fighting,#136,11.00%,Eclipse Eruption,55,Dark,#296,10.00%,Kung Fu Confusion,****,#140,15.00%,Guard Up,***,#139,18.00%,Backflip,#378,14.00%,Miss,#1,27.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EFE912859000000BE
232,Solarlynx,Fighting,Psychic,Inferno Blitz,80,Fire,#37,15.00%,Teleport Strike,80,Psychic,#199,20.00%,Aura Sphere Blast,70,Psychic,#207,14.00%,Close Combat,85,Fighting,#136,17.00%,Courageous Roar,**,#138,5.00%,Hex,**,#519,10.00%,Protect,#377,8.00%,Miss,#1,19.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E30E83ACB00000130
233,Arcanox,Fighting,Psychic,Reality Bend,125,Psychic,#406,11.00%,Dragon Kick,120,Fighting,#131,16.00%,Close Combat,85,Fighting,#136,12.00%,Aura Sphere Blast,70,Psychic,#207,13.00%,Hypnosis Haze,*,#209,10.00%,Thought Scramble,****,#212,11.00%,Riftwalk,#381,5.00%,Miss,#1,27.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E1E8DDA3A0000019F
234,Magikat,Psychic,,Twilight Takedown,50,Dark,#288,9.00%,Confusion Strike,50,Psychic,#198,12.00%,Aura Sphere Blast,70,Psychic,#207,12.00%,Snuggle Tackle,70,Normal,#27,7.00%,Thought Scramble,****,#212,22.00%,Taunt and Tease,****,#32,21.00%,Illusion,#392,5.00%,Miss,#1,17.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E1576F95A000000BF
235,Crystaline,Ghost,Psychic,Ethereal Blast,80,Ghost,#254,21.00%,Confusion Strike,50,Psychic,#198,7.00%,Quick Attack,40,Normal,#25,7.00%,Night Terror,70,Ghost,#261,17.00%,Soul Drain,***,#265,18.00%,Alternate Dimension,****,#463,18.00%,Protect,#377,5.00%,Miss,#1,12.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E47CE0BCC00000131
236,Galaxicat,Ghost,Psychic,Phantom Abyss,125,Ghost,#409,14.00%,Reality Bend,125,Psychic,#406,12.00%,Hailstorm Fury,70,Ice,#117,15.00%,Snuggle Tackle,70,Normal,#27,17.00%,Ghostly Possession,****,#266,12.00%,Haunting Curse,**,#264,8.00%,Mirage,#383,10.00%,Miss,#1,22.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E3573AB3B000001A0
237,Mightus,Fighting,,Spinning Backfist,50,Fighting,#125,16.00%,Metal Whip,80,Steel,#307,12.00%,Smack Down,70,Fighting,#135,8.00%,Deathly Dismemberment,85,Undead,#370,18.00%,Iron Defense,**,#318,13.00%,Kung Fu Confusion,****,#140,15.00%,Detect,#390,12.00%,Miss,#1,18.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E2C5CCA5B000000C0
238,Cracken,Dark,Fighting,Iron Strike,100,Fighting,#130,12.00%,Dragon Kick,120,Fighting,#131,20.00%,Fighting Punch,75,Fighting,#481,11.00%,Umbral Uppercut,40,Dark,#295,10.00%,Kung Fu Confusion,****,#140,11.00%,Lazer Focus,*****,#459,5.00%,Backflip,#378,9.00%,Miss,#1,31.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E5EB3DCCD00000132
239,Torridon,Dark,Fighting,Darkness Plunge,125,Dark,#411,16.00%,Fatal Sneak Attack,125,Fighting,#395,9.00%,Extreme Speed,85,Normal,#28,10.00%,Close Combat,85,Fighting,#136,15.00%,Guard Up,***,#139,8.00%,Courageous Roar,**,#138,11.00%,Counter,#389,13.00%,Miss,#1,31.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E4C597C3C000001A1
240,Greech,Dark,,Shadowy Sweep,80,Dark,#290,17.00%,Jaw Crush,85,Normal,#16,11.00%,Eclipse Eruption,55,Dark,#296,9.00%,Cursed Cut,55,Ghost,#260,13.00%,Nocturnal Nightmare,****,#302,22.00%,Dark Whispers,**,#300,10.00%,Protect,#377,13.00%,Miss,#1,18.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E43429B5C000000C1
