#,Zerpmon,Types,,White Move #1,Dmg,Type,ID,%,White Move #2,Dmg,Type,ID,%,Gold Move #1,Dmg,Type,ID,%,Gold Move #2,Dmg,Type,ID,%,Purple Move #1,Stars,ID,%,Purple Move #2,Stars,ID,%,Blue Move,ID,%,Miss,ID,%,NFToken ID
68,Fyrefli,Electric,Fairy,Zap Cannon,80,Electric,#91,15.00%,Voltage Overload,125,Electric,#401,9.00%,Electro Ball,70,Electric,#99,14.00%,Flutter Fury,70,Fairy,#333,22.00%,Magnet Wave,**,#102,16.00%,Charm Beam,**,#336,14.00%,,,0.00%,Miss,#1,10.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E517CF6F80000005D
69,Treetraum,Dark,Grass,Shadowy Sweep,80,Dark,#290,20.00%,Roots Below,125,Grass,#400,15.00%,Wraith Whip,70,Undead,#369,22.00%,Tremor Shake,70,Ground,#171,13.00%,Root Rend,**,#84,10.00%,Counter Attack,***,#449,8.00%,,,0.00%,Miss,#1,12.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E6862C7F90000005E
70,Vineterror,Dragon,Grass,Whitefire,125,Dragon,#410,17.00%,Roots Below,125,Grass,#400,11.00%,Chlorophyll Charge,85,Grass,#82,16.00%,Supernova,70,Dragon,#279,9.00%,Disarm,*****,#441,10.00%,Ancient Rage,****,#284,12.00%,Parry,#388,10.00%,Miss,#1,15.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E7F4898FA0000005F
71,Sprat,Electric,,Electro Storm,100,Electric,#93,15.00%,Wild Rush,80,Normal,#15,11.00%,Spark Shuriken,55,Electric,#98,19.00%,Obilivion Orb,70,Dark,#297,6.00%,Shockwave Shield,****,#104,16.00%,Magnet Wave,**,#102,8.00%,Evade,#375,14.00%,Miss,#1,11.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E962E69FB00000060
72,Phinx,Psychic,,Teleport Strike,80,Psychic,#199,11.00%,Twinkle Tackle,80,Fairy,#325,14.00%,Aura Sphere Blast,70,Psychic,#207,15.00%,Jet Strike,55,Normal,#26,9.00%,Thought Scramble,****,#212,13.00%,Blind,*****,#442,13.00%,Dodge,#376,11.00%,Miss,#1,14.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EAD143AFC00000061
73,Zup,Electric,Ground,Thunder Strike,50,Electric,#89,12.00%,Sandblast,50,Ground,#162,12.00%,Electro Ball,70,Electric,#99,14.00%,Snuggle Tackle,70,Normal,#27,15.00%,Shockwave Shield,****,#104,23.00%,Sand Pit Trap,***,#175,12.00%,,,0.00%,Miss,#1,12.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EC3FA0BFD00000062
74,Zook,Electric,Ground,Zap Cannon,80,Electric,#91,19.00%,Ice Fang,50,Ice,#108,8.00%,Spark Shuriken,55,Electric,#98,11.00%,Tremor Shake,70,Ground,#171,20.00%,Special Talent,****,#446,15.00%,Sucker Punch,***,#448,10.00%,Evade,#375,5.00%,Miss,#1,12.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EDADFDCFE00000063
75,Zork,Electric,Ground,Magnet Mayhem,120,Electric,#95,19.00%,Earthquake,100,Ground,#165,16.00%,Night Terror,70,Ghost,#261,8.00%,Electric Power,75,Electric,#476,11.00%,Magnet Wave,**,#102,10.00%,Sand Pit Trap,***,#175,9.00%,Burrow,#385,13.00%,Miss,#1,14.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EF1C5ADFF00000064
76,Glubby,Psychic,Water,Aqua Shot,80,Water,#419,10.00%,Oceanic Surge,120,Water,#59,11.00%,Water Whip,55,Water,#62,15.00%,Torrential Tempest,70,Water,#63,10.00%,Briny Blast,****,#68,23.00%,Telekinetic Shield,**,#210,18.00%,,,0.00%,Miss,#1,13.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E08AB7F0000000065
77,Glorby,Psychic,Water,Zen Headbutt,80,Psychic,#200,15.00%,Hydro Cannon,80,Water,#56,13.00%,Drenching Downpour,85,Water,#64,12.00%,Bedrock Blast,70,Rock,#243,9.00%,Mind Control,***,#211,12.00%,Oceanic Domain,*****,#455,16.00%,,,0.00%,Miss,#1,23.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E1F91500100000066
78,Monki,Fighting,,Roundhouse Uppercut,50,Fighting,#126,12.00%,Fatal Sneak Attack,125,Fighting,#395,23.00%,Cross Chop,55,Fighting,#134,12.00%,Cyclone Kick,55,Flying,#188,16.00%,Kung Fu Confusion,****,#140,10.00%,Burn Up,**,#48,12.00%,Backflip,#378,5.00%,Miss,#1,10.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E3677210200000067
79,Monkmaster,Fighting,,Fists of Fury,80,Fighting,#128,13.00%,Fatal Sneak Attack,125,Fighting,#395,17.00%,Cyclone Kick,55,Flying,#188,7.00%,Extreme Speed,85,Normal,#28,11.00%,Kung Fu Confusion,****,#140,17.00%,Burn Up,**,#48,9.00%,Backflip,#378,6.00%,Miss,#1,20.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E4D5CF20300000068
80,Spectowl,Flying,Grass,Bramble Barrage,80,Grass,#73,13.00%,Ethereal Blast,80,Ghost,#254,19.00%,Talon Tornado,85,Flying,#190,17.00%,Leaf Tornado,70,Grass,#81,7.00%,Tailwind Boost,**,#192,8.00%,Floral Fusion,****,#86,13.00%,Shadow Swap,#382,13.00%,Miss,#1,10.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E6442C30400000069
81,Phantar,Dark,Ghost,Poltergeist Strike,50,Ghost,#251,14.00%,Dark Pulse,30,Dark,#285,10.00%,Night Terror,70,Ghost,#261,12.00%,Low Sweep,40,Fighting,#133,6.00%,Thought Scramble,****,#212,21.00%,Total Darkness,*****,#468,18.00%,,,0.00%,Miss,#1,19.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E7B2894050000006A
82,Ghast,Dark,Ghost,Dark Void Vortex,100,Dark,#292,11.00%,Brain Torment,80,Psychic,#427,13.00%,Obilivion Orb,70,Dark,#297,15.00%,Ghostly Guillotine,85,Ghost,#262,23.00%,Haunting Curse,**,#264,12.00%,Dark Whispers,**,#300,16.00%,,,0.00%,Miss,#1,10.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E920E65060000006B
83,Megamare,Dark,Ghost,Soul-Sucking Siphon,120,Dark,#294,24.00%,Necrotic Nova,120,Undead,#365,16.00%,Night Terror,70,Ghost,#261,14.00%,Interstellar Impact,85,Cosmic,#352,5.00%,Haunting Curse,**,#264,10.00%,Ancient Power,***,#247,8.00%,,,0.00%,Miss,#1,23.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EA8F436070000006C
84,Moustatic,Electric,,Zap Cannon,80,Electric,#91,21.00%,Wild Rush,80,Normal,#15,18.00%,Electro Ball,70,Electric,#99,10.00%,Spark Shuriken,55,Electric,#98,5.00%,Shockwave Shield,****,#104,13.00%,Blind,*****,#442,10.00%,Protect,#377,3.00%,Miss,#1,20.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EBFDA07080000006D
85,Stormouse,Electric,,Electro Storm,100,Electric,#93,12.00%,Twilight Takedown,50,Dark,#288,11.00%,Electro Ball,70,Electric,#99,18.00%,Snuggle Tackle,70,Normal,#27,20.00%,Magnet Wave,**,#102,7.00%,Shockwave Shield,****,#104,10.00%,Decoy,#384,12.00%,Miss,#1,10.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7ED6BFD8090000006E
86,Iglett,Fire,,Fire Whip,30,Fire,#34,11.00%,Body Slam,60,Normal,#11,8.00%,Dive Tackle,40,Flying,#187,10.00%,Talon Tornado,85,Flying,#190,12.00%,Taunt and Tease,****,#32,21.00%,Screech,***,#31,16.00%,Evade,#375,11.00%,Miss,#1,11.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EEDA5A90A0000006F
87,Pyrowl,Fire,Flying,Aeroblast,120,Flying,#186,6.00%,Death Charge,120,Normal,#23,10.00%,Cyclone Kick,55,Flying,#188,27.00%,Searing Strike,55,Fire,#44,30.00%,Brave Bird,***,#193,10.00%,Molten Maelstrom,***,#49,5.00%,,,0.00%,Miss,#1,12.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E048B7A0B00000070
88,Owlcindiary,Fire,Flying,Fireball Storm,120,Fire,#42,26.00%,Skyward Slash,120,Flying,#185,24.00%,Talon Tornado,85,Flying,#190,5.00%,Ember Wheel,40,Fire,#43,6.00%,Fire Cloak,*,#47,8.00%,Brave Bird,***,#193,6.00%,,,0.00%,Miss,#1,25.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E1B714B0C00000071
89,Skele,Undead,,Undead Apocalypse,120,Undead,#366,24.00%,Shadow Ball,30,Ghost,#249,8.00%,Digging Strike,55,Ground,#170,6.00%,Wraith Whip,70,Undead,#369,8.00%,Necromancer's Grasp,***,#373,21.00%,Deathly Curse,**,#372,20.00%,,,,Miss,#1,13.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E32571C0D00000072
90,Skelethor,Ground,Undead,Guillotine,85,Normal,#17,8.00%,Spear Drill,90,Normal,#19,11.00%,Tremor Shake,70,Ground,#171,16.00%,Deathly Dismemberment,85,Undead,#370,20.00%,Death's Dominion,****,#374,11.00%,Floral Fusion,****,#86,7.00%,Detect,#390,1.00%,Miss,#1,26.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E493CED0E00000073
91,Panthi,Dark,Grass,Grass Whirlwind,50,Grass,#71,7.00%,Ice Fang,50,Ice,#108,7.00%,Eternal Nightfall,85,Dark,#298,14.00%,Eternal Nightfall,85,Dark,#298,12.00%,Dark Cloud,*****,#444,16.00%,Knacker,**,#450,16.00%,Evade,#375,12.00%,Miss,#1,16.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E77088F1000000075
92,Panclaw,Dark,Grass,Forest Fury,100,Grass,#76,14.00%,Fatal Sneak Attack,125,Fighting,#395,12.00%,Obilivion Orb,70,Dark,#297,14.00%,Chlorophyll Charge,85,Grass,#82,19.00%,Dark Whispers,**,#300,10.00%,Root Rend,**,#84,7.00%,Leap,#380,14.00%,Miss,#1,10.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E8DEE601100000076
93,Pupaw,Fire,,Tail Swipe,50,Normal,#9,9.00%,Inferno Blitz,80,Fire,#37,14.00%,Ember Wheel,40,Fire,#43,12.00%,Snuggle Tackle,70,Normal,#27,15.00%,Taunt and Tease,****,#32,18.00%,Special Talent,****,#446,11.00%,Protect,#377,8.00%,Miss,#1,13.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EA4D4311200000077
94,Fenfire,Fire,,Incinerate,100,Fire,#40,14.00%,Metal Fang,100,Steel,#309,12.00%,Flame Whirlwind,70,Fire,#45,18.00%,Infernal Explosion,85,Fire,#46,13.00%,Demonic Dread,***,#301,8.00%,Burn Up,**,#48,7.00%,Counter,#389,11.00%,Miss,#1,17.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EBBBA021300000078
95,Seagulf,Flying,,Sky Dive,30,Flying,#178,10.00%,Wing Slash,50,Flying,#180,10.00%,Extreme Speed,85,Normal,#28,13.00%,Flying Strike,75,Flying,#490,9.00%,Feathered Fling,****,#194,23.00%,Lullaby,**,#30,24.00%,,,0.00%,Miss,#1,11.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7ED29FD31400000079
96,Seagle,Flying,,Dive Bomb,100,Flying,#184,10.00%,Feather Hurricane,50,Flying,#179,9.00%,Whirlwind Whack,70,Flying,#189,15.00%,Extreme Speed,85,Normal,#28,17.00%,Feathered Fling,****,#194,11.00%,Aqua Veil,***,#67,7.00%,Evade,#375,10.00%,Miss,#1,21.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EE985A4150000007A
97,Seabacan,Flying,,Aeroblast,120,Flying,#186,30.00%,Tidal Wave,80,Water,#55,10.00%,Talon Tornado,85,Flying,#190,10.00%,Extreme Speed,85,Normal,#28,5.00%,Tailwind Boost,**,#192,18.00%,Roost,*,#191,8.00%,,,0.00%,Miss,#1,19.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E006B75160000007B
98,Geistmon,Cosmic,Ghost,Interdimensional Rift,80,Cosmic,#343,18.00%,Backhand Slap,80,Normal,#417,10.00%,Night Terror,70,Ghost,#261,12.00%,Obilivion Orb,70,Dark,#297,16.00%,Lucky Comet,****,#471,18.00%,Lullaby,**,#30,11.00%,,,0.00%,Miss,#1,15.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E175146170000007C
99,Cosmeist,Cosmic,Ghost,Ethereal Blast,80,Ghost,#254,16.00%,Teleport Strike,80,Psychic,#199,10.00%,Interstellar Impact,85,Cosmic,#352,22.00%,Night Terror,70,Ghost,#261,4.00%,Space Time Warp,**,#354,15.00%,Mind Control,***,#211,12.00%,Riftwalk,#381,10.00%,Miss,#1,11.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E2E3717180000007D
100,Paragon,Dragon,Undead,Rampage,80,Dragon,#272,12.00%,Napalm,125,Fire,#398,17.00%,Deathly Dismemberment,85,Undead,#370,14.00%,Dimensional Shredder,85,Dragon,#280,18.00%,Necromancer's Grasp,***,#373,13.00%,Death's Dominion,****,#374,4.00%,Fly,#391,8.00%,Miss,#1,14.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E451CE8190000007E
101,Trigsaur,Ground,Rock,Earthquake,100,Ground,#165,26.00%,Boulder Barrage,50,Rock,#234,13.00%,Fossil Fury,55,Rock,#242,12.00%,Geode Grenade,85,Rock,#244,16.00%,Ancient Power,***,#247,8.00%,Quarry Coffin,****,#248,11.00%,,,0.00%,Miss,#1,14.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E5C02B91A0000007F
102,Tetatile,Grass,Ground,Grass Whirlwind,50,Grass,#71,8.00%,Sand Whip,80,Ground,#163,17.00%,Digging Strike,55,Ground,#170,12.00%,Ember Wheel,40,Fire,#43,8.00%,Leaf Wrap,*****,#443,14.00%,Floral Fusion,****,#86,24.00%,,,0.00%,Miss,#1,17.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E72E88A1B00000080
103,Drogotile,Grass,Ground,Thorn Blizzard,120,Grass,#77,20.00%,Giga Slam,100,Normal,#21,23.00%,Tremor Shake,70,Ground,#171,7.00%,Talon Hammer,55,Dragon,#278,8.00%,Tectonic Divide,*****,#461,15.00%,Taunt and Tease,****,#32,6.00%,,,0.00%,Miss,#1,21.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E89CE5B1C00000081
104,Chibble,Ice,,Frost Nova,80,Ice,#109,14.00%,Frozen Tundra,125,Ice,#402,12.00%,Digging Strike,55,Ground,#170,10.00%,Hailstorm Fury,70,Ice,#117,10.00%,Blizzard Cataclysm,****,#122,18.00%,Ice Wall,***,#121,12.00%,Burrow,#385,14.00%,Miss,#1,10.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EA0B42C1D00000082
105,Finfysh,Ground,Water,Tsunami Slam,100,Water,#58,18.00%,Blackout Strike,50,Dark,#287,12.00%,Water Whip,55,Water,#62,10.00%,Snuggle Tackle,70,Normal,#27,8.00%,Briny Blast,****,#68,15.00%,Venemous Vortex,****,#158,11.00%,Dive,#387,13.00%,Miss,#1,13.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EB799FD1E00000083
106,Sharfysh,Ground,Water,Last Resort,120,Normal,#24,10.00%,Frost Bite,30,Ice,#105,4.00%,Tremor Shake,70,Ground,#171,16.00%,Torrential Tempest,70,Water,#63,19.00%,Briny Blast,****,#68,13.00%,Oceanic Domain,*****,#455,9.00%,Evade,#375,3.00%,Miss,#1,26.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7ECE7FCE1F00000084
107,Zeetle,Cosmic,Psychic,Starry Nightfall,100,Cosmic,#346,10.00%,Teleport Strike,80,Psychic,#199,9.00%,Interstellar Impact,85,Cosmic,#352,13.00%,Telepathic Tempest,85,Psychic,#208,10.00%,Thought Scramble,****,#212,14.00%,Telekinetic Shield,**,#210,16.00%,Riftwalk,#381,12.00%,Miss,#1,16.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EE5659F2000000085
108,Rabbowl,Dark,Grass,Midnight Maul,80,Dark,#289,19.00%,Forest Fury,100,Grass,#76,20.00%,Eternal Nightfall,85,Dark,#298,10.00%,Heavenly Hurricane,85,Fairy,#334,9.00%,Demonic Dread,***,#301,17.00%,Root Rend,**,#84,9.00%,Fly,#391,6.00%,Miss,#1,10.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EFC4B702100000086
109,Snazzle,Ground,Normal,Venomous Bite,50,Poison,#144,11.00%,Pound,30,Normal,#5,9.00%,Venom Pounce,70,Poison,#153,13.00%,Noxious Eruption,85,Poison,#154,17.00%,Toxic Wasteland,*****,#460,8.00%,Sandstorm Shield,****,#176,22.00%,,,0.00%,Miss,#1,20.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E1331412200000087
110,Sceptaz,Ground,Poison,Sandstorm Fury,80,Ground,#164,8.00%,Tailwhip,50,Dragon,#270,7.00%,Venom Pounce,70,Poison,#153,18.00%,Tremor Shake,70,Ground,#171,26.00%,Sand Pit Trap,***,#175,13.00%,Ancient Power,***,#247,16.00%,,,0.00%,Miss,#1,12.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E2A17122300000088
111,Ghostor,Ghost,,Poltergeist Strike,50,Ghost,#251,10.00%,Ice Fang,50,Ice,#108,12.00%,Eternal Nightfall,85,Dark,#298,11.00%,Ghostly Guillotine,85,Ghost,#262,11.00%,Eerie Mist,*****,#466,10.00%,Taunt and Tease,****,#32,16.00%,Mirage,#383,13.00%,Miss,#1,17.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E40FCE32400000089
112,Hippor,Ghost,Undead,Ectoplasmic Explosion,80,Ghost,#253,15.00%,Touch of Death,125,Undead,#414,16.00%,Deathly Dismemberment,85,Undead,#370,11.00%,Ghostly Guillotine,85,Ghost,#262,11.00%,Death's Dominion,****,#374,9.00%,Sucker Punch,***,#448,5.00%,Shadow Swap,#382,7.00%,Miss,#1,26.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E57E2B4250000008A
113,Phox,Fairy,Grass,Solar Beam,100,Grass,#75,11.00%,Radiant Ray,100,Fairy,#328,10.00%,Flutter Fury,70,Fairy,#333,17.00%,Leaf Tornado,70,Grass,#81,11.00%,Shimmering Symphony,****,#338,15.00%,Charm Beam,**,#336,10.00%,Evade,#375,10.00%,Miss,#1,16.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E6EC885260000008B
114,Phibbit,Fairy,Grass,Glittering Sweep,80,Fairy,#326,14.00%,Bramble Barrage,80,Grass,#73,10.00%,Flutter Fury,70,Fairy,#333,8.00%,Snuggle Tackle,70,Normal,#27,11.00%,Leaf Wrap,*****,#443,11.00%,Aurora Borealis,****,#356,13.00%,Dodge,#376,13.00%,Miss,#1,20.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E85AE56270000008C
115,Octoil,Psychic,Water,Tsunami Slam,100,Water,#58,20.00%,Bump and Run,100,Normal,#20,21.00%,Mighty Migraine,40,Psychic,#205,13.00%,Rain Dance Rush,40,Water,#61,11.00%,Thought Scramble,****,#212,11.00%,Alternate Dimension,****,#463,14.00%,,,0.00%,Miss,#1,10.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E9C9427280000008D
116,Fenix,Fire,Flying,Flame Charge,50,Fire,#36,11.00%,Feather Hurricane,50,Flying,#179,11.00%,Whirlwind Whack,70,Flying,#189,18.00%,Dark Energy Blast,100,Dark,#291,21.00%,Roost,*,#191,8.00%,Ancient Rage,****,#284,8.00%,Fly,#391,8.00%,Miss,#1,15.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EB379F8290000008E
117,Clubja,Fighting,,Spinning Backfist,50,Fighting,#125,16.00%,Pile Drive,80,Fighting,#423,10.00%,Abyssal Annihilation,120,Dark,#293,10.00%,Bolt Blade,70,Steel,#315,9.00%,Kung Fu Confusion,****,#140,19.00%,Courageous Roar,**,#138,11.00%,Leap,#380,13.00%,Miss,#1,12.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7ECA5FC92A0000008F
118,Ninjaro,Dark,Fighting,Suplex Slam,80,Fighting,#127,14.00%,Fatal Sneak Attack,125,Fighting,#395,12.00%,Eternal Nightfall,85,Dark,#298,13.00%,Close Combat,85,Fighting,#136,14.00%,Kung Fu Confusion,****,#140,4.00%,Paranoia,*****,#445,4.00%,Shadow Swap,#382,13.00%,Miss,#1,26.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EE1459A2B00000090
119,Turtja,Dark,Fighting,Dragon Kick,120,Fighting,#131,16.00%,Shadowy Sweep,80,Dark,#290,13.00%,Eternal Nightfall,85,Dark,#298,15.00%,Cross Chop,55,Fighting,#134,10.00%,Iron Defense,**,#318,13.00%,Demonic Dread,***,#301,9.00%,Backflip,#378,10.00%,Miss,#1,14.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EF82B6B2C00000091
120,Scaltaur,Ice,Water,Glacial Crush,100,Ice,#111,14.00%,Oceanic Surge,120,Water,#59,20.00%,Torrential Tempest,70,Water,#63,15.00%,Rock Power,75,Rock,#479,9.00%,Freeze Ray,**,#120,11.00%,Sub Zero,*****,#458,9.00%,,,0.00%,Miss,#1,22.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E0F113C2D00000092
121,Tibbit,Fighting,Ground,Fists of Fury,80,Fighting,#128,20.00%,Fatal Sneak Attack,125,Fighting,#395,21.00%,Digging Strike,55,Ground,#170,7.00%,Extreme Speed,85,Normal,#28,8.00%,Sand Pit Trap,***,#175,11.00%,Ancient Power,***,#247,16.00%,,,0.00%,Miss,#1,17.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E06D13243000000A8
122,Aype,Dark,Fighting,Submission Slam,120,Fighting,#132,20.00%,Fatal Sneak Attack,125,Fighting,#395,20.00%,Umbral Uppercut,40,Dark,#295,10.00%,Face Punch,75,Normal,#488,12.00%,Burn Up,**,#48,14.00%,Frighten,*,#299,13.00%,,,0.00%,Miss,#1,11.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E1DB70344000000A9
123,Chirpee,Flying,,Aerial Assault,80,Flying,#181,10.00%,Dark Pulse,30,Dark,#285,9.00%,Cyclone Kick,55,Flying,#188,12.00%,Searing Strike,55,Fire,#44,15.00%,Screech,***,#31,15.00%,Feathered Fling,****,#194,24.00%,,,0.00%,Miss,#1,15.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E349CD445000000AA
124,Hellix,Fire,Flying,Gale Force Barrage,125,Flying,#405,10.00%,Fire Ball,80,Fire,#418,7.00%,Flame Whirlwind,70,Fire,#45,16.00%,Soaring Strike,80,Flying,#182,16.00%,Fire Cloak,*,#47,21.00%,Brave Bird,***,#193,19.00%,,,0.00%,Miss,#1,11.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E4B82A546000000AB
125,Protek,Bug,Steel,Metal Crush,50,Steel,#305,8.00%,Sand Whip,80,Ground,#163,5.00%,Pincer Pinch,55,Bug,#224,10.00%,Chrysalid Charge,70,Bug,#225,14.00%,Steel Plague,****,#320,18.00%,Infestation,****,#230,13.00%,Protect,#377,10.00%,Miss,#1,22.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E62687647000000AC
126,Attak,Bug,Steel,X-Scissor Strike,100,Bug,#219,9.00%,Iron Strike,100,Fighting,#130,9.00%,Steel Swipe,55,Steel,#314,16.00%,Digging Strike,55,Ground,#170,18.00%,Metallic Harden,***,#319,16.00%,Ancient Power,***,#247,16.00%,,,0.00%,Miss,#1,16.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E794E4748000000AD
127,Spidice,Bug,Ice,Web Shot Lunge,100,Bug,#220,29.00%,Glacial Crush,100,Ice,#111,14.00%,Hailstorm Fury,70,Ice,#117,10.00%,Venom Pounce,70,Poison,#153,13.00%,Sticky Web,**,#228,6.00%,Rapid Evolution,****,#464,11.00%,Protect,#377,7.00%,Miss,#1,10.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E90341849000000AE
128,Bufflava,Normal,,Stomp,65,Normal,#12,21.00%,Skull Bash,80,Normal,#14,15.00%,Snuggle Tackle,70,Normal,#27,10.00%,Chlorophyll Charge,85,Grass,#82,7.00%,Taunt and Tease,****,#32,14.00%,Guard Up,***,#139,10.00%,Protect,#377,12.00%,Miss,#1,11.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EA719E94A000000AF
129,Mustaur,Fighting,Normal,Death Charge,120,Normal,#23,18.00%,Submission Slam,120,Fighting,#132,14.00%,Close Combat,85,Fighting,#136,10.00%,Incinerate,100,Fire,#40,7.00%,Iron Defense,**,#318,12.00%,Rock Shield,**,#246,4.00%,Withdraw,#379,13.00%,Miss,#1,22.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EBDFFBA4B000000B0
130,Stalagon,Dragon,Rock,Meteor Rush,120,Rock,#239,17.00%,Obliterating Breath,120,Dragon,#275,12.00%,Dimensional Shredder,85,Dragon,#280,13.00%,Heavenly Hurricane,85,Fairy,#334,13.00%,Quarry Coffin,****,#248,13.00%,Ancient Rage,****,#284,8.00%,Fly,#391,5.00%,Miss,#1,19.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E02B12D4E000000B3
131,Lunaura,Grass,Poison,Sludge Bomb,50,Poison,#143,15.00%,Grass Whirlwind,50,Grass,#71,8.00%,Leaf Tornado,70,Grass,#81,15.00%,Chlorophyll Charge,85,Grass,#82,7.00%,Leaf Wrap,*****,#443,15.00%,Toxic Wasteland,*****,#460,12.00%,Burrow,#385,11.00%,Miss,#1,17.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EC4657778000000DD
132,Sylvaria,Grass,Poison,Sludge Bomb,50,Poison,#143,8.00%,Poison Spike,80,Poison,#424,12.00%,Pollen Puff,55,Grass,#80,8.00%,Venom Pounce,70,Poison,#153,22.00%,Special Talent,****,#446,23.00%,Screech,***,#31,16.00%,,,0.00%,Miss,#1,11.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EDB4B4879000000DE
133,Ottail,Ghost,Water,Shadow Ball,30,Ghost,#249,12.00%,Apparition Assault,100,Ghost,#255,11.00%,Rain Dance Rush,40,Water,#61,9.00%,Water Power,75,Water,#474,7.00%,Special Talent,****,#446,19.00%,Eerie Mist,*****,#466,16.00%,Dive,#387,6.00%,Miss,#1,20.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EF231197A000000DF
134,Frostail,Ghost,Water,Tidal Wave,80,Water,#55,14.00%,Head Kick,70,Normal,#13,10.00%,Ghostly Guillotine,85,Ghost,#262,18.00%,Drenching Downpour,85,Water,#64,20.00%,Aqua Veil,***,#67,8.00%,Bubble Barrier,**,#66,6.00%,Dive,#387,9.00%,Miss,#1,15.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E0916EA7B000000E0
135,Tidetail,Ghost,Water,Banshee Blast,120,Ghost,#257,22.00%,Tidal Wave,80,Water,#55,18.00%,Night Terror,70,Ghost,#261,8.00%,Drenching Downpour,85,Water,#64,7.00%,Haunting Curse,**,#264,10.00%,Eerie Mist,*****,#466,12.00%,,,0.00%,Miss,#1,23.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E1FFCBB7C000000E1
