Move ID,Move Name,Type,Damage,Colour,Notes,Purple Move Effect ID,Melee Ranged,Move ID
#423,Pile Drive,Fighting,80,White,,,1,#423
#424,Poison Spike,Poison,80,White,,,2,#424
#425,Ground Fissure,Ground,80,White,,,2,#425
#426,Feather Shot,Flying,80,White,,,2,#426
#427,Brain Torment,Psychic,80,White,,,2,#427
#428,Rapid Sting,Bug,80,White,,,2,#428
#429,Rock Shot,Rock,80,White,,,2,#429
#430,Apparition Slam,Ghost,80,White,,,1,#430
#431,Dragonic Dive,Dragon,80,White,,,1,#431
#432,Shadow Assault,Dark,80,White,,,1,#432
#433,Alloy Smash,Steel,80,White,,,1,#433
#434,Sparkle Burst,Fairy,80,White,,,2,#434
#435,Starlight Burst,Cosmic,80,White,,,2,#435
#436,Necro Blast,Undead,80,White,,,2,#436
#437,Dead Calm,Normal,*****,Purple,Decrease Own Red Chance by 40%,55,3,#437
#438,Direct Explosion,Normal,*****,Purple,Knocks Out Opposing Zerpmon,155,4,#438
#439,Neck Snap,Normal,*****,Purple,Knocks Out Opposing Zerpmon,155,4,#439
#440,Pressure Point,Normal,*****,Purple,Knocks Out Opposing Zerpmon,155,4,#440
#441,Disarm,Normal,*****,Purple,"For the next 2 turns, Decrease Opposing Zerpmon's White/Gold Attack Damage by 125",135,4,#441
#442,Blind,Normal,*****,Purple,"For the next 2 turns, Decrease Opposing Zerpmon's White/Gold Attack Damage by 125",135,4,#442
#443,Leaf Wrap,Grass,*****,Purple,"For the next 2 turns, Decrease Opposing Zerpmon's White/Gold Attack Damage by 125",135,4,#443
#444,Dark Cloud,Dark,*****,Purple,"For the next 2 turns, Decrease Opposing Zerpmon's White/Gold Attack Damage by 125",135,4,#444
#445,Paranoia,Ghost,*****,Purple,"For the next 2 turns, Decrease Opposing Zerpmon's White/Gold Attack Damage by 125",135,4,#445
#446,Special Talent,Normal,****,Purple,Knock Out Against Opposing Zerpmon's Gold Attack,174,4,#446
#447,Awaken,Normal,****,Purple,Knock Out Against Opposing Zerpmon's Gold Attack,174,4,#447
#448,Sucker Punch,Normal,***,Purple,Knock Out Against Opposing Zerpmon's White Attack,163,4,#448
#449,Counter Attack,Normal,***,Purple,Knock Out Against Opposing Zerpmon's White Attack,163,4,#449
#450,Knacker,Normal,**,Purple,Reduces Opposing Zerpmon's Purple stars to 0,182,4,#450
#451,Blinding Light,Normal,**,Purple,Reduces Opposing Zerpmon's Purple stars to 0,182,4,#451
#452,Soothing Voice,Fairy,***,Purple,"For the next turn, Decrease Opposing Zerpmon's White/Gold Attack Damage by 150",143,4,#452
#453,Deafening Scream,Dragon,***,Purple,"For the next turn, Decrease Opposing Zerpmon's White/Gold Attack Damage by 150",143,4,#453
#454,Hellfire,Fire,*****,Purple,Knocks Out Opposing Zerpmon,155,4,#454
#455,Oceanic Domain,Water,*****,Purple,Increase Own Highest Percentage Gold Attack Chance by 25%,35,3,#455
#456,Sacred Garden,Grass,*****,Purple,Decrease Own Red Chance by 40%,55,3,#456
#457,Eye of the Storm,Electric,*****,Purple,Decrease Opposing Zerpmon's Highest Percentage Gold Attack Chance by 40%,95,4,#457
#458,Sub Zero,Ice,*****,Purple,Increase Opposing Zerpmon's Red Percentage Chance by 25%,45,4,#458
#459,Lazer Focus,Fighting,*****,Purple,Decrease Own Red Chance by 40%,55,3,#459
#460,Toxic Wasteland,Poison,*****,Purple,Increase Own Lowest Percentage Gold Attack Chance by 25%,15,3,#460
#461,Tectonic Divide,Ground,*****,Purple,Knocks Out Opposing Zerpmon,155,4,#461
#462,Strong Winds,Flying,*****,Purple,Knocks Out Opposing Zerpmon,155,4,#462
#463,Alternate Dimension,Psychic,****,Purple,Increase Own Next White/Gold Attack Damage by 200,114,3,#463
#464,Rapid Evolution,Bug,****,Purple,Increase Own Next White/Gold Attack Damage by 200,114,3,#464
#465,Impenetrable Armour,Rock,****,Purple,"For the next 2 turns, Decrease Opposing Zerpmon's White/Gold Attack Damage by 100",144,4,#465
#466,Eerie Mist,Ghost,*****,Purple,Increase Opposing Zerpmon's Red Percentage Chance by 25%,45,4,#466
#467,Dragonfire Cloak,Dragon,****,Purple,Increase Own Next White/Gold Attack Damage by 200,114,3,#467
#468,Total Darkness,Dark,*****,Purple,Increase Opposing Zerpmon's Red Percentage Chance by 25%,45,4,#468
#469,Overdrive,Steel,*****,Purple,Increase Own Highest Percentage Gold Attack Chance by 25%,35,3,#469
#470,Wonderland,Fairy,****,Purple,"For the next 2 turns, Decrease Opposing Zerpmon's White/Gold Attack Damage by 100",144,4,#470
#471,Lucky Comet,Cosmic,****,Purple,Increase Own Next White/Gold Attack Damage by 200,114,3,#471
#472,Eternal Graveyard,Undead,*****,Purple,Increase Opposing Zerpmon's Red Percentage Chance by 25%,45,4,#472
#473,Fire Power,Fire,75,Gold,,,2,#473
#474,Water Power,Water,75,Gold,,,2,#474
#475,Grass Power,Grass,75,Gold,,,2,#475
#476,Electric Power,Electric,75,Gold,,,2,#476
#477,Ice Power,Ice,75,Gold,,,2,#477
#478,Psychic Power,Psychic,75,Gold,,,2,#478
#479,Rock Power,Rock,75,Gold,,,2,#479
#480,Cosmic Power,Cosmic,75,Gold,,,2,#480
#481,Fighting Punch,Fighting,75,Gold,,,1,#481
#482,Ground Punch,Ground,75,Gold,,,1,#482
#483,Ghost Punch,Ghost,75,Gold,,,1,#483
#484,Dragon Punch,Dragon,75,Gold,,,1,#484
#485,Dark Punch,Dark,75,Gold,,,1,#485
#486,Fairy Punch,Fairy,75,Gold,,,1,#486
#487,Undead Punch,Undead,75,Gold,,,1,#487
#488,Face Punch,Normal,75,Gold,,,1,#488
#489,Poison Strike,Poison,75,Gold,,,1,#489
#490,Flying Strike,Flying,75,Gold,,,1,#490
#491,Bug Strike,Bug,75,Gold,,,1,#491
#492,Steel Strike,Steel,75,Gold,,,1,#492
#493,Blaze Up,Grass,*****,Purple,"For the next 2 turns, Decrease Opposing Zerpmon's White/Gold Attack Damage by 125",135,4,#493
#494,Blow Smoke,Flying,50,White,,,2,#494
#495,Blunt Trauma,Normal,50,White,,,1,#495
#496,Apple Toss,Normal,100,White,,,2,#496
#497,Eat Apple,Normal,***,Purple,Decrease Own Red Chance by 24%,53,3,#497
#498,Cuteness Overload,Normal,*****,Purple,"For the next 2 turns, Decrease Opposing Zerpmon's White/Gold Attack Damage by 125",135,4,#498
#499,Quack Attack,Water,85,Gold,,,2,#499
#500,Build Sandcastle,Ground,*****,Purple,Increase Opposing Zerpmon's Red Percentage Chance by 25%,45,4,#500
#501,Sword Slash,Steel,85,White,,,1,#501
#502,Shield Bash,Steel,60,White,,,1,#502
#503,Shield Deflect,-,-,Blue,,,Null,#503
#504,Armour Up,Steel,****,Purple,"For the next 2 turns, Decrease Opposing Zerpmon's White/Gold Attack Damage by 100",144,4,#504
#505,Overhead Slash,Steel,70,Gold,,,1,#505
#506,Javelin Shot,Steel,70,Gold,,,2,#506
#507,Protective Barrier,Cosmic,****,Purple,"For the next 2 turns, Decrease Opposing Zerpmon's White/Gold Attack Damage by 100",144,4,#507
#508,Health Potion,Normal,****,Purple,Decrease Own Red Chance by 32%,54,3,#508
#509,Magic Missle Attack,Cosmic,85,White,,,2,#509
#510,Chain Lightning,Electric,100,White,,,2,#510
#511,Frost Cone,Ice,85,White,,,2,#511
#512,Arcane Missle,Cosmic,70,Gold,,,2,#512
#513,Slow Spell,Cosmic,****,Purple,Increase Opposing Zerpmon's Red Percentage Chance by 20%,44,4,#513
#514,Fatigue Spell,Psychic,****,Purple,"For the next 2 turns, Decrease Opposing Zerpmon's White/Gold Attack Damage by 100",144,4,#514
#515,Divine Justice,Fairy,150,Gold,,,1,#515
#516,Retribution,Electric,75,Gold,,,2,#516
#517,Ice Lance,Ice,75,Gold,,,2,#517
#518,Backstab,Dark,75,Gold,,,1,#518
#519,Hex,Psychic,**,Purple,Reduces Opposing Zerpmon's Purple stars to 0,182,4,#519
#520,Polymorph,Psychic,*****,Purple,"For the next 2 turns, Decrease Opposing Zerpmon's White/Gold Attack Damage by 125",135,4,#520
#521,Heavy Cleave,Steel,100,White,,,1,#521
#522,Lava Plume,Fire,85,Gold,,,2,#522
#523,Tectonic Suplex,Normal,200,White,,,1,#523
#524,Inferno Core Blast,Fire,200,White,,,2,#524
#525,Abyssal Trench,Water,200,White,,,2,#525
#526,Twisted Forest,Grass,200,White,,,2,#526
#527,Obliterating Volt,Electric,200,White,,,2,#527
#528,Liquid Nitrogen Blast,Ice,200,White,,,2,#528
#529,Serious Punch,Fighting,200,White,,,1,#529
#530,Max Necrosis,Poison,200,White,,,1,#530
#531,Depths of Earth,Ground,200,White,,,2,#531
#532,Tornado Rip,Flying,200,White,,,2,#532
#533,Brain Explode,Psychic,200,White,,,2,#533
#534,Hive Mind Swarm,Bug,200,White,,,2,#534
#535,Marble Minigun,Rock,200,White,,,2,#535
#536,Sleep Paralysis,Ghost,200,White,,,2,#536
#537,Primal Fire,Dragon,200,White,,,2,#537
#538,The Void,Dark,200,White,,,2,#538
#539,Infinity Slash,Steel,200,White,,,2,#539
#540,Cannon of Light,Fairy,200,White,,,2,#540
#541,Nebula Giga Implosion,Cosmic,200,White,,,2,#541
#542,Torturous Death,Undead,200,White,,,1,#542
#543,Spooky Shuffle,-,-,Blue,,,Null,#543
#544,Sweet Kiss,-,-,Blue,,,Null,#544
#545,Rapid Spin,-,-,Blue,,,Null,#545
#546,,,,,,,,#546
#547,,,,,,,,#547
#548,,,,,,,,#548
#549,,,,,,,,#549
#550,,,,,,,,#550
#551,,,,,,,,#551
#552,,,,,,,,#552
#553,,,,,,,,#553
#554,,,,,,,,#554
#555,,,,,,,,#555
#556,,,,,,,,#556
#557,,,,,,,,#557
#558,,,,,,,,#558
#559,,,,,,,,#559
#560,,,,,,,,#560
#561,,,,,,,,#561
#562,,,,,,,,#562
