#,Zerpmon,Types,,White Move #1,Dmg,Type,ID,%,White Move #2,Dmg,Type,ID,%,Gold Move #1,Dmg,Type,ID,%,Gold Move #2,Dmg,Type,ID,%,Purple Move #1,Stars,ID,%,Purple Move #2,Stars,ID,%,Blue Move,ID,%,Miss,ID,%
223,Terratide,Ground,Rock,Boulder Barrage,50,Rock,#234,14.00%,Earthquake,100,Ground,#165,16.00%,Zap Cannon,80,Electric,#91,18.00%,Suplex Slam,80,Fighting,#127,21.00%,Sand Pit Trap,***,#175,11.00%,Tectonic Divide,*****,#461,5.00%,Protect,#377,12.00%,Miss,#1,15.00%
224,Goloar,Ground,Rock,Cataclysm,125,Ground,#404,17.00%,Quantum Steel Quake,120,Steel,#311,14.00%,Bedrock Blast,70,Rock,#243,12.00%,Fissure Quake,85,Ground,#172,11.00%,Sand Pit Trap,***,#175,10.00%,Ancient Power,***,#247,10.00%,Burrow,#385,10.00%,Miss,#1,26.00%
225,Dreptile,Dragonling,,Dragonfire Fury,80,Dragon,#271,16.00%,Wyrm Whirlwind,30,Dragon,#268,11.00%,Blaze Rush,40,Dragon,#277,11.00%,Dragon Punch,75,Dragon,#484,10.00%,Dragon's Roar,***,#283,20.00%,Ancient Rage,****,#284,19.00%,Protect,#377,16.00%,Miss,#1,13.00%
226,Dregatail,Dark,Dragonling,Dragonfire Fury,80,Dragon,#271,24.00%,Dark Energy Blast,100,Dark,#291,13.00%,Eternal Nightfall,85,Dark,#298,14.00%,Blaze Rush,40,Dragon,#277,23.00%,Scale Armour,**,#282,7.00%,Dragonfire Cloak,****,#467,9.00%,Protect,#377,15.00%,Miss,#1,10.00%
227,Nebugon,Dark,Dragonling,Whitefire,125,Dragon,#410,15.00%,Meteoric Impact,125,Rock,#408,17.00%,Obilivion Orb,70,Dark,#297,11.00%,Flying Strike,75,Flying,#490,12.00%,Deafening Scream,***,#453,9.00%,Ancient Rage,****,#284,6.00%,Fly,#391,10.00%,Miss,#1,30.00%
228,Glorbus,Cosmic,,Celestial Strike,30,Cosmic,#340,15.00%,Brain Torment,80,Psychic,#427,10.00%,Solar Storm,70,Cosmic,#351,15.00%,Aurora Blast,55,Cosmic,#350,15.00%,Lucky Comet,****,#471,15.00%,Mind Control,***,#211,16.00%,Protect,#377,11.00%,Miss,#1,14.00%
229,Cubus,Cosmic,Psychic,Flame Cannon,100,Fire,#39,13.00%,Hydro Cannon,80,Water,#56,19.00%,Aura Sphere Blast,70,Psychic,#207,15.00%,Electro Ball,70,Electric,#99,15.00%,Aurora Borealis,****,#356,11.00%,Charm Beam,**,#336,9.00%,Riftwalk,#381,10.00%,Miss,#1,18.00%
230,Cosmicloom,Cosmic,Psychic,Dimensional Lazer,125,Cosmic,#396,19.00%,Reality Bend,125,Psychic,#406,14.00%,Interstellar Impact,85,Cosmic,#352,8.00%,Crystal Crush,85,Ice,#118,16.00%,Blinding Light,**,#451,7.00%,Cosmic Radiation,***,#355,7.00%,Riftwalk,#381,12.00%,Miss,#1,29.00%
231,Lito,Fighting,,Fists of Fury,80,Fighting,#128,8.00%,Pile Drive,80,Fighting,#423,11.00%,Close Combat,85,Fighting,#136,11.00%,Eclipse Eruption,55,Dark,#296,10.00%,Kung Fu Confusion,****,#140,15.00%,Guard Up,***,#139,18.00%,Backflip,#378,17.00%,Miss,#1,27.00%
232,Solarlynx,Fighting,Psychic,Inferno Blitz,80,Fire,#37,15.00%,Teleport Strike,80,Psychic,#199,20.00%,Aura Sphere Blast,70,Psychic,#207,14.00%,Close Combat,85,Fighting,#136,17.00%,Courageous Roar,**,#138,5.00%,Hex,**,#519,10.00%,Protect,#377,12.00%,Miss,#1,19.00%
233,Arcanox,Fighting,Psychic,Reality Bend,125,Psychic,#406,11.00%,Dragon Kick,120,Fighting,#131,16.00%,Close Combat,85,Fighting,#136,12.00%,Aura Sphere Blast,70,Psychic,#207,13.00%,Hypnosis Haze,*,#209,9.00%,Thought Scramble,****,#212,10.00%,Riftwalk,#381,10.00%,Miss,#1,29.00%
234,Magikat,Psychic,,Twilight Takedown,50,Dark,#288,9.00%,Confusion Strike,50,Psychic,#198,12.00%,Aura Sphere Blast,70,Psychic,#207,12.00%,Snuggle Tackle,70,Normal,#27,7.00%,Thought Scramble,****,#212,21.00%,Taunt and Tease,****,#32,19.00%,Illusion,#392,10.00%,Miss,#1,20.00%
235,Crystaline,Ghost,Psychic,Ethereal Blast,80,Ghost,#254,21.00%,Confusion Strike,50,Psychic,#198,7.00%,Quick Attack,40,Normal,#25,7.00%,Night Terror,70,Ghost,#261,17.00%,Soul Drain,***,#265,18.00%,Alternate Dimension,****,#463,18.00%,Protect,#377,13.00%,Miss,#1,12.00%
236,Galaxicat,Ghost,Psychic,Phantom Abyss,125,Ghost,#409,14.00%,Reality Bend,125,Psychic,#406,12.00%,Hailstorm Fury,70,Ice,#117,15.00%,Snuggle Tackle,70,Normal,#27,17.00%,Ghostly Possession,****,#266,12.00%,Haunting Curse,**,#264,8.00%,Mirage,#383,10.00%,Miss,#1,22.00%
237,Mightus,Fighting,,Spinning Backfist,50,Fighting,#125,16.00%,Metal Whip,80,Steel,#307,12.00%,Smack Down,70,Fighting,#135,8.00%,Deathly Dismemberment,85,Undead,#370,18.00%,Iron Defense,**,#318,13.00%,Kung Fu Confusion,****,#140,15.00%,Detect,#390,17.00%,Miss,#1,18.00%
238,Cracken,Dark,Fighting,Iron Strike,100,Fighting,#130,16.00%,Dragon Kick,120,Fighting,#131,15.00%,Fighting Punch,75,Fighting,#481,8.00%,Umbral Uppercut,40,Dark,#295,10.00%,Kung Fu Confusion,****,#140,15.00%,Lazer Focus,*****,#459,5.00%,Backflip,#378,14.00%,Miss,#1,31.00%
239,Torridon,Dark,Fighting,Darkness Plunge,125,Dark,#411,16.00%,Fatal Sneak Attack,125,Fighting,#395,9.00%,Extreme Speed,85,Normal,#28,10.00%,Close Combat,85,Fighting,#136,15.00%,Guard Up,***,#139,8.00%,Courageous Roar,**,#138,11.00%,Counter,#389,15.00%,Miss,#1,31.00%
240,Greech,Dark,,Shadowy Sweep,80,Dark,#290,17.00%,Jaw Crush,85,Normal,#16,11.00%,Eclipse Eruption,55,Dark,#296,9.00%,Cursed Cut,55,Ghost,#260,13.00%,Nocturnal Nightmare,****,#302,22.00%,Dark Whispers,**,#300,10.00%,Protect,#377,19.00%,Miss,#1,18.00%
241,Reech,Dark,Poison,Bone Breaker,100,Fighting,#129,25.00%,Venomous Bite,50,Poison,#144,8.00%,Venom Pounce,70,Poison,#153,20.00%,Obilivion Orb,70,Dark,#297,13.00%,Nocturnal Nightmare,****,#302,10.00%,Dark Whispers,**,#300,6.00%,Parry,#388,18.00%,Miss,#1,18.00%
242,Wretch,Dark,Poison,Venom Nova,125,Poison,#403,16.00%,Touch of Death,125,Undead,#414,15.00%,Noxious Eruption,85,Poison,#154,20.00%,Obilivion Orb,70,Dark,#297,15.00%,Venemous Vortex,****,#158,6.00%,Corrosive Vapors,**,#156,8.00%,Burrow,#385,13.00%,Miss,#1,20.00%
243,Uuvuu,Normal,,Stomp,65,Normal,#12,16.00%,Skull Bash,80,Normal,#14,20.00%,Snuggle Tackle,70,Normal,#27,10.00%,Artic Chill,55,Ice,#116,9.00%,Taunt and Tease,****,#32,19.00%,Screech,***,#31,12.00%,Evade,#375,12.00%,Miss,#1,14.00%
244,Sparquill,Ice,Normal,Last Resort,120,Normal,#24,22.00%,Ice Fang,50,Ice,#108,16.00%,Hailstorm Fury,70,Ice,#117,18.00%,Whirlwind Whack,70,Flying,#189,14.00%,Taunt and Tease,****,#32,9.00%,Ice Wall,***,#121,10.00%,Dodge,#376,13.00%,Miss,#1,11.00%
245,Crystalox,Ice,Normal,Frozen Tundra,125,Ice,#402,20.00%,Last Resort,120,Normal,#24,15.00%,Omega Steel Strike,85,Steel,#316,10.00%,Hailstorm Fury,70,Ice,#117,11.00%,Ice Wall,***,#121,18.00%,Freeze Ray,**,#120,10.00%,Evade,#375,10.00%,Miss,#1,16.00%
246,Butle,Grass,,Razor Leaf,30,Grass,#70,8.00%,Solar Beam,100,Grass,#75,21.00%,Blossom Blast,40,Grass,#79,10.00%,Poisonous Puddle,40,Poison,#151,6.00%,Wonderland,****,#470,15.00%,Leaf Wrap,*****,#443,22.00%,Burrow,#385,10.00%,Miss,#1,18.00%
247,Foliescent,Grass,Psychic,Brain Torment,80,Psychic,#427,18.00%,Solar Beam,100,Grass,#75,11.00%,Chlorophyll Charge,85,Grass,#82,13.00%,Aura Sphere Blast,70,Psychic,#207,22.00%,Telekinetic Shield,**,#210,11.00%,Root Rend,**,#84,12.00%,Protect,#377,10.00%,Miss,#1,13.00%
248,Deerant,Grass,Psychic,Roots Below,125,Grass,#400,16.00%,Death Hug,125,Normal,#397,20.00%,Aura Sphere Blast,70,Psychic,#207,10.00%,Chlorophyll Charge,85,Grass,#82,11.00%,Sacred Garden,*****,#456,9.00%,Telekinetic Shield,**,#210,7.00%,Detect,#390,10.00%,Miss,#1,27.00%
249,Repbot,Steel,,Chrono Steel Blast,100,Steel,#310,11.00%,Wild Rush,80,Normal,#15,9.00%,Steel Swipe,55,Steel,#314,11.00%,Jet Strike,55,Normal,#26,11.00%,Metallic Harden,***,#319,16.00%,Screech,***,#31,14.00%,Dodge,#376,10.00%,Miss,#1,28.00%
250,Geomech,Fighting,Steel,Bone Breaker,100,Fighting,#129,19.00%,Metallic Rush,80,Steel,#308,20.00%,Bolt Blade,70,Steel,#315,12.00%,Extreme Speed,85,Normal,#28,6.00%,Iron Defense,**,#318,14.00%,Rust,*,#317,15.00%,Protect,#377,12.00%,Miss,#1,14.00%
251,Steelynx,Fighting,Steel,Absolute Iron,125,Steel,#412,18.00%,Bone Breaker,100,Fighting,#129,16.00%,Extreme Speed,85,Normal,#28,8.00%,Omega Steel Strike,85,Steel,#316,8.00%,Knacker,**,#450,8.00%,Iron Defense,**,#318,8.00%,Block,#394,12.00%,Miss,#1,34.00%
252,Aline,Ghost,,Poltergeist Strike,50,Ghost,#251,12.00%,Undead Wail,50,Undead,#359,10.00%,Night Terror,70,Ghost,#261,19.00%,Ice Power,75,Ice,#477,11.00%,Soul Drain,***,#265,17.00%,Dark Cloud,*****,#444,14.00%,Protect,#377,10.00%,Miss,#1,17.00%
253,Frostolem,Ghost,Ice,Blizzard Burst,50,Ice,#107,12.00%,Winter's Wrath,120,Ice,#113,23.00%,Ghostly Guillotine,85,Ghost,#262,16.00%,Night Terror,70,Ghost,#261,22.00%,Ice Wall,***,#121,9.00%,Sub Zero,*****,#458,4.00%,Protect,#377,14.00%,Miss,#1,14.00%
254,Cryogord,Ghost,Ice,Frozen Tundra,125,Ice,#402,15.00%,Death Hug,125,Normal,#397,18.00%,Ghostly Guillotine,85,Ghost,#262,12.00%,Hailstorm Fury,70,Ice,#117,20.00%,Ice Wall,***,#121,14.00%,Icy Wind,*,#119,10.00%,Protect,#377,13.00%,Miss,#1,11.00%
255,Batrop,Cosmic,,Nebula Burst,50,Cosmic,#341,7.00%,Interdimensional Rift,80,Cosmic,#343,16.00%,Interstellar Impact,85,Cosmic,#352,22.00%,Solar Storm,70,Cosmic,#351,5.00%,Space Time Warp,**,#354,18.00%,Dark Cloud,*****,#444,10.00%,Protect,#377,14.00%,Miss,#1,22.00%
256,Geminat,Cosmic,,Interdimensional Rift,80,Cosmic,#343,21.00%,Fire Ball,80,Fire,#418,11.00%,Solar Storm,70,Cosmic,#351,15.00%,Shockwave Smash,85,Electric,#100,12.00%,Mind Control,***,#211,10.00%,Cosmic Radiation,***,#355,12.00%,Illusion,#392,14.00%,Miss,#1,19.00%
257,Solarfyre,Cosmic,Fire,Dimensional Lazer,125,Cosmic,#396,17.00%,Incinerate,100,Fire,#40,18.00%,Electro Ball,70,Electric,#99,8.00%,Interstellar Impact,85,Cosmic,#352,11.00%,Hellfire,*****,#454,7.00%,Eclipse Edge,*,#353,6.00%,Fly,#391,18.00%,Miss,#1,33.00%
258,Treegle,Ground,,Sandstorm Fury,80,Ground,#164,22.00%,Bump and Run,100,Normal,#20,16.00%,Digging Strike,55,Ground,#170,5.00%,Rock Throw,40,Rock,#241,6.00%,Sandstorm Shield,****,#176,15.00%,Impenetrable Armour,****,#465,17.00%,Counter,#389,10.00%,Miss,#1,19.00%
259,Tragapod,Ground,Rock,Ground Shatter,100,Ground,#166,23.00%,Rocky Rampage,100,Rock,#237,21.00%,Tremor Shake,70,Ground,#171,10.00%,Jet Strike,55,Normal,#26,8.00%,Impenetrable Armour,****,#465,10.00%,Sand Pit Trap,***,#175,13.00%,Counter,#389,10.00%,Miss,#1,15.00%
260,Rumblphant,Ground,Rock,Meteoric Impact,125,Rock,#408,17.00%,Death Charge,120,Normal,#23,19.00%,Fissure Quake,85,Ground,#172,10.00%,Tremor Shake,70,Ground,#171,13.00%,Sand Pit Trap,***,#175,10.00%,Impenetrable Armour,****,#465,7.00%,Counter,#389,10.00%,Miss,#1,24.00%
261,Jelliflash,Ghost,Poison,Ectoplasmic Explosion,80,Ghost,#253,15.00%,Venom Nova,125,Poison,#403,13.00%,Psybeam Burst,50,Psychic,#197,10.00%,Telepathic Tempest,85,Psychic,#208,16.00%,Ghostly Possession,****,#266,10.00%,Acid Rain,***,#157,10.00%,Protect,#377,10.00%,Miss,#1,26.00%
262,Zyphyrsh,Ghost,Poison,Acidic Avalanche,100,Poison,#147,14.00%,Teleport Strike,80,Psychic,#199,12.00%,Ghostly Guillotine,85,Ghost,#262,24.00%,Sludge Cannon,55,Poison,#152,17.00%,Phantom Scream,*,#263,9.00%,Ghostly Possession,****,#266,10.00%,Shadow Swap,#382,15.00%,Miss,#1,14.00%
263,Mechaniwing,Flying,Steel,Wing Slash,50,Flying,#180,13.00%,Feather Hurricane,50,Flying,#179,13.00%,Steel Swipe,55,Steel,#314,8.00%,Bolt Blade,70,Steel,#315,10.00%,Metallic Harden,***,#319,21.00%,Feathered Fling,****,#194,12.00%,Fly,#391,14.00%,Miss,#1,23.00%
264,Chronoclaw,Flying,Steel,Wing Slash,50,Flying,#180,8.00%,Absolute Iron,125,Steel,#412,10.00%,Bolt Blade,70,Steel,#315,23.00%,Cyclone Kick,55,Flying,#188,18.00%,Roost,*,#191,7.00%,Deafening Scream,***,#453,8.00%,Fly,#391,13.00%,Miss,#1,26.00%
265,Graviraptor,Flying,Steel,Aeroblast,120,Flying,#186,25.00%,Metallic Rush,80,Steel,#308,16.00%,Alloy Attack,40,Steel,#313,7.00%,Extreme Speed,85,Normal,#28,6.00%,Brave Bird,***,#193,9.00%,Metallic Harden,***,#319,7.00%,Fly,#391,11.00%,Miss,#1,30.00%
266,Geopup,Rock,,Rock Blast,30,Rock,#232,10.00%,Flame Charge,50,Fire,#36,7.00%,Extreme Speed,85,Normal,#28,14.00%,Rock Throw,40,Rock,#241,9.00%,Quarry Coffin,****,#248,23.00%,Impenetrable Armour,****,#465,23.00%,Protect,#377,10.00%,Miss,#1,14.00%
267,Fossilfox,Rock,,Gemstone Missile,80,Rock,#235,15.00%,Iron Strike,100,Fighting,#130,24.00%,Geode Grenade,85,Rock,#244,28.00%,Extreme Speed,85,Normal,#28,6.00%,Gravel Grind,*,#245,10.00%,Rock Shield,**,#246,4.00%,Dodge,#376,17.00%,Miss,#1,13.00%
268,Snodash,Ice,,Frost Bite,30,Ice,#105,7.00%,Blizzard Burst,50,Ice,#107,8.00%,Hailstorm Fury,70,Ice,#117,21.00%,Snuggle Tackle,70,Normal,#27,18.00%,Ice Wall,***,#121,12.00%,Sub Zero,*****,#458,24.00%,Protect,#377,11.00%,Miss,#1,10.00%
269,Spectolf,Ice,,Ice Fang,50,Ice,#108,13.00%,Frozen Tundra,125,Ice,#402,18.00%,Hailstorm Fury,70,Ice,#117,12.00%,Night Terror,70,Ghost,#261,17.00%,Blizzard Cataclysm,****,#122,22.00%,Ice Wall,***,#121,8.00%,Protect,#377,16.00%,Miss,#1,10.00%
270,Glacialsaur,Ice,,Arctic Avalanche,120,Ice,#114,17.00%,Glacial Crush,100,Ice,#111,20.00%,Close Combat,85,Fighting,#136,8.00%,Bedrock Blast,70,Rock,#243,15.00%,Blizzard Cataclysm,****,#122,11.00%,Ice Wall,***,#121,15.00%,Counter,#389,14.00%,Miss,#1,14.00%
271,Pigloo,Ice,Ground,Frozen Tundra,125,Ice,#402,16.00%,Sandblast,50,Ground,#162,12.00%,Electro Ball,70,Electric,#99,13.00%,Shockwave Smash,85,Electric,#100,20.00%,Taunt and Tease,****,#32,12.00%,Freeze Ray,**,#120,16.00%,Backflip,#378,20.00%,Miss,#1,11.00%
272,Permafluff,Ice,Electric,Sparkle Wave,50,Fairy,#324,9.00%,Bone Breaker,100,Fighting,#129,20.00%,Zap Cannon,80,Electric,#91,13.00%,Crystal Crush,85,Ice,#118,9.00%,Ice Wall,***,#121,22.00%,Bubble Barrier,**,#66,15.00%,Burrow,#385,16.00%,Miss,#1,12.00%
273,Zephear,Dark,Undead,Midnight Maul,80,Dark,#289,18.00%,Demonic Deluge,100,Undead,#364,25.00%,Night Terror,70,Ghost,#261,11.00%,Obilivion Orb,70,Dark,#297,11.00%,Death's Dominion,****,#374,7.00%,Nocturnal Nightmare,****,#302,10.00%,Riftwalk,#381,20.00%,Miss,#1,18.00%
274,Torrentaur,Dark,Fighting,Dark Energy Blast,100,Dark,#291,21.00%,Fatal Sneak Attack,125,Fighting,#395,10.00%,Smack Down,70,Fighting,#135,14.00%,Bolt Blade,70,Steel,#315,13.00%,Guard Up,***,#139,12.00%,Iron Defense,**,#318,8.00%,Shadow Swap,#382,20.00%,Miss,#1,22.00%
275,Cosmihawk,Cosmic,Flying,Galactic Singularity,120,Cosmic,#348,17.00%,Meteor Rush,120,Rock,#239,14.00%,Whirlwind Whack,70,Flying,#189,10.00%,Solar Storm,70,Cosmic,#351,10.00%,Charm Beam,**,#336,15.00%,Brave Bird,***,#193,16.00%,Fly,#391,15.00%,Miss,#1,18.00%
276,Psychodile,Psychic,Water,Psyshock Slam,100,Psychic,#202,18.00%,Dimensional Lazer,125,Cosmic,#396,20.00%,Psychic Surge,55,Psychic,#206,10.00%,Omega Steel Strike,85,Steel,#316,11.00%,Aqua Veil,***,#67,11.00%,Oceanic Domain,*****,#455,5.00%,Mirage,#383,11.00%,Miss,#1,25.00%
277,Lunagon,Dragonling,,Tailwhip,50,Dragon,#270,7.00%,Whitefire,125,Dragon,#410,18.00%,Supernova,70,Dragon,#279,19.00%,Solar Storm,70,Cosmic,#351,15.00%,Blind,*****,#442,9.00%,Special Talent,****,#446,12.00%,Backflip,#378,12.00%,Miss,#1,20.00%
278,Darb,Dark,Rock,Mental Shockwave,100,Psychic,#201,19.00%,Obsidian Blast,100,Rock,#238,15.00%,Night Terror,70,Ghost,#261,11.00%,Obilivion Orb,70,Dark,#297,9.00%,Dark Cloud,*****,#444,9.00%,Special Talent,****,#446,14.00%,Block,#394,13.00%,Miss,#1,23.00%
279,Enzone,Cosmic,Grass,Thorn Blizzard,120,Grass,#77,20.00%,Poison Spike,80,Poison,#424,7.00%,Aurora Blast,55,Cosmic,#350,10.00%,Solar Storm,70,Cosmic,#351,11.00%,Wonderland,****,#470,10.00%,Strong Winds,*****,#462,17.00%,Protect,#377,13.00%,Miss,#1,25.00%
280,Krakno,Water,,Demonic Deluge,100,Undead,#364,14.00%,Vortex Tsunami,125,Water,#399,18.00%,Torrential Tempest,70,Water,#63,10.00%,Psychic Surge,55,Psychic,#206,10.00%,Rapid Evolution,****,#464,8.00%,Total Darkness,*****,#468,12.00%,Mirage,#383,10.00%,Miss,#1,28.00%
281,Aquanix,Ground,Water,Hydro Cannon,80,Water,#56,15.00%,Earthquake,100,Ground,#165,12.00%,Blaze Rush,40,Dragon,#277,8.00%,Infernal Explosion,85,Fire,#46,14.00%,Counter Attack,***,#449,14.00%,Special Talent,****,#446,18.00%,Protect,#377,10.00%,Miss,#1,19.00%
282,Pyrotorm,Fire,Ground,Fireball Storm,120,Fire,#42,16.00%,Ground Shatter,100,Ground,#166,10.00%,Dimensional Shredder,85,Dragon,#280,8.00%,Infernal Explosion,85,Fire,#46,8.00%,Hellfire,*****,#454,19.00%,Quicksand Sinkhole,*,#173,10.00%,Protect,#377,10.00%,Miss,#1,29.00%
283,Steelonix,Dark,Steel,Twilight Takedown,50,Dark,#288,10.00%,Metal Fang,100,Steel,#309,21.00%,Obilivion Orb,70,Dark,#297,20.00%,Close Combat,85,Fighting,#136,9.00%,Frighten,*,#299,11.00%,Iron Defense,**,#318,9.00%,Protect,#377,14.00%,Miss,#1,20.00%
284,Goblino,Normal,,Cheeky Pinch,50,Normal,#415,14.00%,Wild Rush,80,Normal,#15,10.00%,Malicious Pinch,70,Dark,#416,20.00%,Jet Strike,55,Normal,#26,11.00%,Disarm,*****,#441,17.00%,Confuse Ray,*,#29,15.00%,Protect,#377,13.00%,Miss,#1,13.00%
285,Tidelin,Water,,Cheeky Pinch,50,Normal,#415,14.00%,Tidal Wave,80,Water,#55,12.00%,Malicious Pinch,70,Dark,#416,20.00%,Water Whip,55,Water,#62,11.00%,Briny Blast,****,#68,20.00%,Confuse Ray,*,#29,9.00%,Protect,#377,13.00%,Miss,#1,14.00%
286,Pyrolin,Fire,,Cheeky Pinch,50,Normal,#415,14.00%,Magma Blast,80,Fire,#38,13.00%,Malicious Pinch,70,Dark,#416,20.00%,Searing Strike,55,Fire,#44,10.00%,Pheonix Fury,****,#50,19.00%,Confuse Ray,*,#29,10.00%,Protect,#377,13.00%,Miss,#1,14.00%
287,Thunderlin,Electric,,Cheeky Pinch,50,Normal,#415,14.00%,Zap Cannon,80,Electric,#91,12.00%,Malicious Pinch,70,Dark,#416,18.00%,Spark Shuriken,55,Electric,#98,9.00%,Disarm,*****,#441,19.00%,Confuse Ray,*,#29,9.00%,Protect,#377,13.00%,Miss,#1,19.00%
288,Leaflin,Grass,,Cheeky Pinch,50,Normal,#415,10.00%,Bramble Barrage,80,Grass,#73,10.00%,Malicious Pinch,70,Dark,#416,13.00%,Pollen Puff,55,Grass,#80,10.00%,Disarm,*****,#441,14.00%,Leaf Wrap,*****,#443,18.00%,Protect,#377,12.00%,Miss,#1,25.00%
289,Horleaf,Grass,Ground,Bramble Barrage,80,Grass,#73,12.00%,Bump and Run,100,Normal,#20,27.00%,Chlorophyll Charge,85,Grass,#82,19.00%,Tremor Shake,70,Ground,#171,13.00%,Seed Scatter,***,#85,8.00%,Sand Pit Trap,***,#175,6.00%,Dodge,#376,10.00%,Miss,#1,15.00%
290,Taurleaf,Grass,Ground,Forest Fury,100,Grass,#76,21.00%,Death Charge,120,Normal,#23,21.00%,Fissure Quake,85,Ground,#172,11.00%,Geode Grenade,85,Rock,#244,14.00%,Iron Defense,**,#318,9.00%,Rock Shield,**,#246,8.00%,Burrow,#385,10.00%,Miss,#1,16.00%
291,Serpentile,Poison,Grass,Venomous Bite,50,Poison,#144,11.00%,Poisonous Whirlwind,80,Poison,#146,18.00%,Noxious Eruption,85,Poison,#154,12.00%,Leaf Tornado,70,Grass,#81,17.00%,Leaf Wrap,*****,#443,11.00%,Toxic Wasteland,*****,#460,13.00%,Burrow,#385,10.00%,Miss,#1,18.00%
292,Cobrakong,Poison,Grass,Photosynthesis Flare,120,Grass,#78,16.00%,Venoshock,120,Poison,#150,10.00%,Tremor Shake,70,Ground,#171,15.00%,Chlorophyll Charge,85,Grass,#82,12.00%,Petal Dance,*,#83,18.00%,Venemous Vortex,****,#158,13.00%,Protect,#377,12.00%,Miss,#1,16.00%
293,Emberquill,Fire,Flying,Inferno Blitz,80,Fire,#37,8.00%,Soaring Strike,80,Flying,#182,11.00%,Fire Power,75,Fire,#473,11.00%,Flutter Fury,70,Fairy,#333,21.00%,Molten Maelstrom,***,#49,14.00%,Brave Bird,***,#193,10.00%,Protect,#377,11.00%,Miss,#1,25.00%
294,Aerohawk,Fire,Fairy,Mystic Moonbeam,120,Fairy,#329,25.00%,Cosmic Ray Beam,100,Cosmic,#345,23.00%,Whirlwind Whack,70,Flying,#189,8.00%,Jet Strike,55,Normal,#26,5.00%,Special Talent,****,#446,6.00%,Charm Beam,**,#336,8.00%,Protect,#377,12.00%,Miss,#1,25.00%
295,Geocrab,Bug,Rock,Thorn Shot,80,Grass,#420,15.00%,X-Scissor Strike,100,Bug,#219,23.00%,Fossil Fury,55,Rock,#242,12.00%,Geode Grenade,85,Rock,#244,18.00%,Metamorphosis Madness,***,#229,14.00%,Ancient Power,***,#247,8.00%,Protect,#377,12.00%,Miss,#1,10.00%
296,Crabmancer,Bug,Rock,Titan Steel Tempest,120,Steel,#312,20.00%,Skeletal Strike,50,Undead,#360,10.00%,Bedrock Blast,70,Rock,#243,15.00%,Crawler Clobber,85,Bug,#226,21.00%,Metamorphosis Madness,***,#229,17.00%,Leech,*,#227,7.00%,Protect,#377,10.00%,Miss,#1,10.00%
297,Pupix,Dark,Normal,Dark Energy Blast,100,Dark,#291,20.00%,Tail Swipe,50,Normal,#9,9.00%,Cursed Cut,55,Ghost,#260,8.00%,Obilivion Orb,70,Dark,#297,27.00%,Demonic Dread,***,#301,10.00%,Confuse Ray,*,#29,15.00%,Protect,#377,18.00%,Miss,#1,11.00%
298,Foliageist,Fighting,Grass,Bramble Barrage,80,Grass,#73,14.00%,Iron Strike,100,Fighting,#130,20.00%,Close Combat,85,Fighting,#136,23.00%,Lunar Wave,40,Cosmic,#349,10.00%,Eclipse Edge,*,#353,7.00%,Root Rend,**,#84,15.00%,Protect,#377,18.00%,Miss,#1,11.00%
299,Galaxizyme,Fighting,Grass,Thorn Blizzard,120,Grass,#77,23.00%,Submission Slam,120,Fighting,#132,20.00%,Smack Down,70,Fighting,#135,13.00%,Terra Tackle,40,Ground,#169,12.00%,Scale Armour,**,#282,9.00%,Iron Defense,**,#318,6.00%,Protect,#377,13.00%,Miss,#1,17.00%
300,Galagon,Cosmic,Dragon,Dimensional Lazer,125,Cosmic,#396,14.00%,Black Hole Implosion,120,Cosmic,#347,18.00%,Obilivion Orb,70,Dark,#297,20.00%,Hailstorm Fury,70,Ice,#117,16.00%,Dragon's Roar,***,#283,9.00%,Dragonfire Cloak,****,#467,7.00%,Mirage,#383,15.00%,Miss,#1,16.00%
301,Prismafly,Bug,Ground,Mandible Maul,120,Bug,#221,12.00%,Aerial Assault,80,Flying,#181,13.00%,Tremor Shake,70,Ground,#171,14.00%,Snuggle Tackle,70,Normal,#27,9.00%,Sandstorm Shield,****,#176,18.00%,Metallic Harden,***,#319,14.00%,Burrow,#385,11.00%,Miss,#1,20.00%
302,Zeode,Bug,Ground,Serrated Slash,80,Bug,#217,21.00%,Mandible Maul,120,Bug,#221,26.00%,Flutter Fury,70,Fairy,#333,12.00%,Searing Strike,55,Fire,#44,16.00%,Metamorphosis Madness,***,#229,10.00%,Draining Kiss,***,#337,5.00%,Protect,#377,13.00%,Miss,#1,10.00%
303,Crakead,Ground,Rock,Last Resort,120,Normal,#24,26.00%,Dream Eater,120,Psychic,#203,18.00%,Crawler Clobber,85,Bug,#226,12.00%,Decay Dive,55,Undead,#368,10.00%,Deathly Curse,**,#372,10.00%,Rock Shield,**,#246,11.00%,Acrobatics,#393,11.00%,Miss,#1,13.00%
304,Sectibush,Grass,Bug,Waterfall Charge,100,Water,#57,22.00%,Solar Beam,100,Grass,#75,20.00%,Snuggle Tackle,70,Normal,#27,17.00%,Bedrock Blast,70,Rock,#243,12.00%,Ancient Power,***,#247,13.00%,Root Rend,**,#84,5.00%,Protect,#377,11.00%,Miss,#1,11.00%
